date,residual,phase,metodo,evento,carburante,break_date
2022-01-15,0.016609327305374427,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-16,0.01715377939237378,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-17,0.0012540034068084793,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-18,0.002263587925744742,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-19,-0.004846175665136621,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-20,0.0022022070859712972,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-21,0.007936059096861209,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-22,0.010800511183860523,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-23,0.011194963270859892,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-24,0.01908546956470064,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-25,0.014176029663331341,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-26,-0.005037858629021286,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-27,-0.008399544922706614,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-28,-0.018794366742046903,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-29,-0.012499914655047545,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-30,-0.011315462568048107,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-31,-0.010230424762965207,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-01,-0.006040278122253301,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-02,0.0009796316784247971,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-03,-0.009170541220711703,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-04,-0.025174015877374806,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-05,-0.021699563790375492,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-06,-0.02103511170337613,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-07,-0.02504534506212669,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-08,0.007326183060878982,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-09,-0.0027291716638325747,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-10,-0.0015408342831960131,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-11,0.0009426758629091092,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-12,0.002117127949908454,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-13,0.0022515800369077854,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-14,-0.013465952081106458,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-15,0.0022782522901222124,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-16,-0.004764333068948384,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-17,0.019172566150445935,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-18,0.018896627466569477,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-19,0.019811079553568894,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-20,0.019725531640568228,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-21,0.005183547901333518,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-22,-0.002915583807878791,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-23,0.003343737138630093,pre,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-24,-0.041564254162479275,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-25,-0.0027583352469371103,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-26,0.005116116840062163,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-27,0.007260568927061561,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-28,-0.03000546282451,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-01,-0.08399959580105523,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-02,-0.1430883937899647,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-03,-0.16782067705652404,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-04,-0.21080433314372984,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-05,-0.1598898810567305,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-06,-0.1382554289697311,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-07,-0.2528901808371545,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-08,-0.35484109999452085,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-09,-0.2777710052649274,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-10,-0.16706860428066989,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-11,0.2501593439847206,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-12,0.26038379607172013,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-13,0.2630582481587194,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-14,0.23553440465742181,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-17,0.16905289534020496,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-18,0.1826304010403575,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-19,0.13724485312735704,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-20,0.12847930521435624,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-21,0.04624879531566922,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-22,0.017628796415765008,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-23,-0.24039518090707904,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-24,-0.2987777154069318,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-25,-0.26319046457999384,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-26,-0.25859601249299446,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-27,-0.26180156040599506,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-28,0.08134095327842561,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-29,0.1374510227028731,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-30,0.12155306300889893,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-31,0.13653728034796664,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-04-01,0.09976165479917548,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-04-02,0.08991610688617493,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-04-03,0.08222055897317426,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
2022-04-04,0.05157890676928362,post,v1_naive,Ucraina (Feb 2022),gasolio,2022-02-24
