date,residual,phase,metodo,evento,carburante,break_date
2026-01-19,0.0017720597911827785,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-20,1.1797338025476556e-05,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-21,0.0013461185994442793,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-22,0.005336993974378035,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-23,0.004670284407557734,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-24,0.003913861251934381,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-25,0.009856634357685135,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-26,0.00391630146627181,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-27,0.006499210061309213,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-28,0.009361931060861362,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-29,-0.01933225223063595,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-30,0.0001418553312362847,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-31,-0.0007634576493409373,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-01,0.013057947414912119,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-02,-0.0051401831806981435,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-03,-0.009194869446412346,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-04,-0.0030711419937624607,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-05,-0.00010112266026640615,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-06,-0.001770518467657911,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-07,-0.001870756362310655,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-08,-0.006717798304081313,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-09,-0.0025753783955603793,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-10,-0.0010611697712312185,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-11,0.0054953024445670295,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-12,0.0012447089027531888,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-13,0.0021518541669206526,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-14,0.0010208789637660143,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-15,0.0016926700061601352,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-16,0.000690952615352014,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-17,-0.0052922554927303245,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-18,-0.004887395167182729,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-19,-0.00399649143869657,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-20,0.0008042122636481852,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-21,0.0029678447816986475,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-22,0.0016250930871634095,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-23,0.0011419073161374471,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-24,0.0023009295990982226,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-25,0.0035088820374833407,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-26,-0.016822857652197543,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-27,-0.003141288998172842,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-28,-0.002357529932817015,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-01,-0.02792934914859735,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-02,-0.054968399912208754,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-03,-0.044672601917949084,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-04,-0.04439612228198625,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-05,-0.02512694693717754,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-06,-0.006085540056199101,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-07,0.008131143104019911,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-08,-0.03045758508485613,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-09,-0.01214284722105785,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-10,-0.01251989570410722,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-11,-0.031687233989946884,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-12,-0.03901033973965484,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-13,-0.03136131511477991,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-14,-0.018535354141858695,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-15,-0.015238453147783548,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-16,-0.042348668973816506,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-17,-0.02858454026619811,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-18,-0.02113401843333579,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-19,-0.012372475003306072,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-20,-0.1623137371233469,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-21,-0.18277458187283652,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-22,-0.15361907076195358,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-23,0.05387797885376533,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-24,0.07724825040541244,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-25,0.07986107500951029,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-26,0.07565228651415207,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-27,0.07628221057048062,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-28,0.07760215974062634,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-29,0.0742831596842552,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-30,0.02553502768732524,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-31,0.05088411485138111,post,v3_arima,Hormuz (Feb 2026),benzina,2026-02-28
