date,residual,phase,metodo,evento,carburante,break_date
2026-01-19,0.005920140738176233,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-20,-0.008445062507329265,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-21,-0.006855639836573585,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-22,0.010722495901160395,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-23,0.0009344973903075704,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-24,0.0016673605545782788,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-25,0.0017954824776872103,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-26,0.0009977785713493892,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-27,0.00237121212026975,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-28,-0.0036508173483301154,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-29,-0.010657543149080101,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-30,-0.022420343412055954,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-31,0.002022529360674735,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-01,-0.009751726265917249,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-02,0.026521799400150592,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-03,-0.004315385720290221,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-04,0.0018490930623455415,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-05,0.00380116957235907,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-06,-0.004681510788085985,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-07,0.003612936995189747,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-08,0.0009491987744485453,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-09,0.0019407275829355919,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-10,0.01164209866054558,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-11,-0.008550007094412032,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-12,0.004987802332942409,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-13,0.0212444739434689,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-14,0.0025829339175607313,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-15,0.008013155189245363,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-16,0.002690408436135827,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-17,0.012117091634664595,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-18,-0.01267416725491921,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-19,-0.016085509590509972,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-20,0.0003974555091033338,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-21,-0.0007897183501284766,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-22,-0.004650205847619188,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-23,-0.011937407823961077,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-24,0.00877539077394679,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-25,-0.001699844886319829,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-26,-0.013984793004195306,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-27,-5.9144198690408434e-05,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-28,0.004387701348764705,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-01,0.006155402673026583,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-02,-0.0936825117516642,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-03,-0.1261079942101748,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-04,-0.052982589272148106,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-05,-0.0672820340479185,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-06,-0.04152246823460351,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-07,-0.0011447669103417102,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-08,0.012722934413920167,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-09,-0.09350247327081612,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-10,0.046439213306876365,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-11,0.02426448103493084,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-12,0.022911099798398477,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-13,0.007877508532660726,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-14,0.026825209856922688,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-15,0.03273291118118449,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-16,-0.020763548833976103,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-17,-0.002031487405863064,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-18,-0.05055828899915821,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-19,-0.08760015136431201,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-20,-0.23552285527226746,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-21,-0.24671515394800567,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-22,-0.2350374526237437,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-23,0.017530712727793024,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-24,0.05152582454526544,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-25,0.1496663428844587,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-26,0.038219502959667306,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-27,0.012843723327543993,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-28,0.020601424651805922,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-29,0.024009125976067774,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-30,0.0021035148139813276,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
2026-03-31,0.03682154526574305,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-02-28
