date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.008917771661721335,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-05,-0.006045044844029679,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-06,4.7615991389804435e-06,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-07,-0.00401076483627652,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-08,-0.005470813085245968,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-09,-0.0006354477402305825,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-10,-0.0017062862167032955,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-11,-0.008124555349846407,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-12,-0.0013509869052321655,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-13,0.0012358630119467529,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-14,0.005623692335422897,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-15,0.00042064538026623244,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-16,-0.005663269345311167,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-17,-7.061467073998795e-05,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-18,0.0006254852304303227,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-19,0.010755966131700545,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-20,-0.0023878835544270394,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-21,0.002763179881411282,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-22,0.0023696834515192222,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-23,-9.77073507607562e-06,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-24,0.0007695231876803654,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-25,0.002357747183347275,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-26,0.0009218045566891653,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-27,0.0016091308813626637,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-28,-0.0012659676846704104,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-29,0.004799794261544477,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-30,-0.00038542845540828763,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-31,0.0006528150811996314,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-01,-0.00510278536220804,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-02,-0.001471018651311412,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-03,0.0003193288259657756,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-04,0.0026842761277388882,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-05,-0.0008083918433759718,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-06,-0.00035953008263511776,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-07,9.430070049437633e-05,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-08,1.943046249974767e-05,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-09,-0.0022021456323455535,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-10,-0.009010852647098028,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-11,0.0061294197360682035,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-12,-0.0014800694752622745,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-13,-0.00922418177336648,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-14,-0.003328407785694154,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-15,-0.005251380098376224,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-16,-0.012608764385802218,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-17,-0.009149229195292624,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-18,-0.009806484964287293,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-19,-0.0026207109766149816,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-20,0.007165063011057404,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-21,0.015050836998729666,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-22,0.0234655707240026,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-23,0.017201344711674976,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-24,0.0304090315906341,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-25,0.031216285536526667,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-26,0.033426544942098346,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-27,0.03176231892977066,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-28,0.029028092917442933,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-29,0.05038074516049115,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-30,0.04114819130278172,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-01,0.038143965290453996,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-02,0.031224164330043547,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-03,0.021237414896371265,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-04,0.01879318888404355,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-05,0.017308962871715933,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-06,0.01666473685938827,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-07,0.014043299285187383,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-08,0.012979073272859742,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-09,0.017334968283717223,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-10,0.013166925231925392,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-11,0.013422699219597739,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-12,0.0127484732072701,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-13,0.013353019512879039,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-14,0.014082389766791548,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-15,0.015177023738659867,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-16,0.00940435736423903,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-17,0.01091251485777825,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-18,0.009558288845450597,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-19,0.009204062833122917,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-20,0.010088967313839181,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-21,0.01008474130151149,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-22,0.012940412829976572,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
