date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.027210846709936343,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-05,0.014043430589675332,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-06,-0.014568008738721272,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-07,0.01168346740901438,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-08,-0.007874942216470893,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-09,-0.008156549138776975,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-10,-0.0008146100134223677,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-11,-0.00014494520641319952,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-12,0.0015746254091823508,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-13,-0.022129160574868606,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-14,0.0004674925609704783,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-15,0.006009594403925705,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-16,0.011147323325199077,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-17,0.0042540923673879405,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-18,0.001924160806352604,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-19,-0.01451921450261967,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-20,0.005449732991808176,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-21,0.0020870749377135678,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-22,0.004415712810394629,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
