date,residual,phase,metodo,evento,carburante,break_date
2022-01-15,0.005095614022298939,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-16,0.00012300578087365288,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-17,-0.0026168297589817813,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-18,0.0006876095312215724,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-19,0.00020141772792831025,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-20,0.0063530322034525966,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-21,0.005644901156555776,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-22,0.0051275252024595985,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-23,0.005498156894762796,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-24,-0.0036361938688520834,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-25,0.0016011194372763382,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-26,0.0029620859534499056,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-27,0.0011325038014581013,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-28,0.006247857451488176,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-29,0.009457668697819055,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-30,-0.031147386957566137,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-31,-0.0064803538776463665,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-01,-0.0002716077702896169,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-02,-0.004463581662006999,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-03,-0.00793489366155914,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-04,-0.002483298747677498,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-05,0.0002410660668408504,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-06,0.00429188876150996,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-07,0.0026273651348740212,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-08,-0.003999017887473588,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-09,-0.000614384140727231,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-10,-0.010063861947816388,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-11,-0.00130312900184279,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-12,-0.0007646249852959197,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-13,-0.008039237278143097,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-14,0.006661869345171295,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-15,-0.002947088669359832,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-16,0.009170078494617373,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-17,0.004823348573893715,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-18,0.003403033529774502,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-19,0.003048875155074987,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-20,-0.0027848726249823375,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-21,-0.0018892832752908928,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-22,-0.00011317385727513396,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-23,0.0029956069178402045,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-24,0.00135917084697873,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-25,0.006535932176296805,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-26,0.014642693505615006,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-27,-0.013793926002557882,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-28,-0.04300490117981834,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-01,-0.08572924871456744,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-02,-0.07711402077940577,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-03,-0.12421357475699646,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-04,-0.1018268134276783,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-05,-0.05919005209836006,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-06,-0.07125926269179031,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-07,-0.10628591606857021,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-08,-0.0032929511772494258,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-09,0.0862974185969953,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-10,0.1288493962371156,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-11,0.15086615756643357,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-12,0.16148291889575186,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-13,0.17956882264179588,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-14,0.1623188357413974,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-17,0.14457052847738552,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-18,0.15747728980670372,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-19,0.12211405113602192,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-20,0.10540747568744957,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-21,0.10493665727812315,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-22,0.08435880779596736,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-23,-0.12023502649979725,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-24,-0.18226327660106326,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-25,-0.18113651527174507,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-26,-0.1800697539424269,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-27,-0.17627226701895177,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-28,0.11797952714505161,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-29,0.118156068757193,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-30,0.12829244237298013,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-31,0.12811043361514776,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-01,0.12148719494446591,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-02,0.11329395627378414,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-03,0.09497517422419943,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-04,0.10754077180146737,post,v3_arima,Ucraina (Feb 2022),benzina,2022-02-24
