date,residual,phase,metodo,evento,carburante,break_date
2022-01-15,0.0034200469245828924,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-16,0.0019561750227128083,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-17,-0.014216974524742743,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-18,-0.0009127764451043463,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-19,-0.008651404800569557,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-20,0.003973564851896927,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-21,0.0044632221427342855,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-22,0.0030881484635783274,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-23,0.001436098448037909,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-24,0.009167873111495917,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-25,-0.001629379306638229,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-26,-0.0169483430823483,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-27,-0.0054825075747786944,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-28,-0.013165321298027166,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-29,0.0012164204931652822,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-30,-0.002267108356180214,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-31,-0.0019445830207530101,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-01,0.001559031452292109,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-02,0.00551923792225309,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-03,-0.009853368403382662,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-04,-0.017956533520875312,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-05,-0.002108213100177725,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-06,-0.003956473637182045,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-07,-0.008331794103028867,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-08,0.027247413370819318,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-09,-0.007406098055810634,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-10,0.0016100812729425151,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-11,0.0033281094989449644,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-12,0.0027472056160467995,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-13,0.002126788028824267,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-14,-0.013550763038293029,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-15,0.014348769633761443,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-16,-0.004584049022531206,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-17,0.024878094149888008,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-18,0.006450413091153823,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-19,0.007718499500023901,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-20,0.007076794594081004,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-21,-0.007257066594712369,pre,v3_arima,Ucraina (Feb 2022),gasolio,2022-02-24
