metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,sw_stat,sw_p,lb_stat,lb_p,diag_n_lags,sarima_bench_gain_meur,sarima_bench_rmse,sarima_bench_aic,approccio,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,best_approach,is_best,transfer_fn,note,sarima_sw_stat,sarima_sw_p,sarima_lb_stat,sarima_lb_p
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,15.3,0.11488,-177.09,A,0.03032,1.1521,31.1,8.5,53.6,,-279.46,-274.39,0.11973,230.386,B,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,15.3,0.11488,-177.09,B,0.02671,1.0149,27.4,-31.7,86.5,,-388.56,-381.8,0.11871,234.813,B,True,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,15.3,0.11488,-177.09,C,0.04323,1.6429,44.1,21.2,67.0,,-241.07,-237.7,0.12429,214.786,B,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,15.3,0.11488,-177.09,S,0.01472,0.5593,15.3,-184.4,215.0,,-177.09,-174.28,0.11488,249.814,B,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=fixed",0.4883,0.0,12.084,0.2795
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9518,0.0877,12.07,0.2804,10,-165.7,0.1836,-174.1,A,-0.00071,-0.0271,-2.8,-87.3,81.7,,-252.14,-247.07,0.18092,1036.327,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9518,0.0877,12.07,0.2804,10,-165.7,0.1836,-174.1,B,-0.01734,-0.6589,-52.5,-298.2,193.3,,-361.24,-354.48,0.18079,1122.799,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9518,0.0877,12.07,0.2804,10,-165.7,0.1836,-174.1,C,-0.02177,-0.8274,-65.7,-142.0,10.6,,-231.82,-228.44,0.18033,1126.737,C,True,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9518,0.0877,12.07,0.2804,10,-165.7,0.1836,-174.1,S,-0.05524,-2.0991,-165.7,-676.2,344.8,,-174.1,-171.29,0.1836,1331.12,C,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=fixed",0.6255,0.0,11.851,0.2952
v3_arima,fixed,fixed_at_shock,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,40,40,40,40,"(2, 0, 0)",0.9551,0.1134,3.191,0.9766,10,80.5,0.05971,-222.89,A,0.02509,1.0036,36.6,9.2,64.0,,-323.59,-316.83,0.02875,9.574,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,40,40,40,40,"(2, 0, 0)",0.9551,0.1134,3.191,0.9766,10,80.5,0.05971,-222.89,B,0.04673,1.8691,68.6,18.5,118.7,,-433.51,-426.76,0.05089,17.691,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
