date,residual,phase,metodo,evento,carburante,break_date
2026-01-19,-0.004378260841726711,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-20,-0.004702994005654548,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-21,-0.0035035219499759407,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-22,0.0013726699241928264,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-23,0.004052141979871471,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-24,0.0051716140355499984,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-25,0.011946158845288934,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-26,0.010622594066891644,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-27,0.012402125527653185,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-28,0.01653840255239264,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-29,-0.009304831480515807,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-30,-0.00704535942483725,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-31,-0.006355887369158653,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-01,0.008009486124630705,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-02,-0.0004912592624454759,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-03,-0.0101530809892032,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-04,-0.01041360893352461,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-05,-0.007535465614048664,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-06,-0.0071959935583700285,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-07,-0.006986521502691467,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-08,-0.01161086378640691,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-09,-0.010481064208132995,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-10,-0.008128171566280984,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-11,8.561301275433753e-05,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-12,0.0014150850684329086,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-13,0.00329455712411153,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-14,0.0035040291797902023,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-15,0.0043985198802395375,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-16,0.004077991935918179,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-17,-0.0020372507826193487,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-18,-0.00564288526876866,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-19,-0.007082770615066347,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-20,-0.003163298559387684,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-21,0.0017061734962908748,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-22,0.003705105782940199,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-23,0.004642323190840847,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-24,0.0065111323303140844,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-25,0.009052395231720634,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-26,-0.009495954007492646,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-27,-0.008146481951814055,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-28,-0.006377009896135377,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-01,-0.02910408772728401,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-02,-0.05415662687485129,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-03,-0.04244873897996981,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-04,-0.041144635607605506,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-05,-0.02110516355192693,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-06,-0.0014656914962483114,post,v7_theilsen,Hormuz (Feb 2026),benzina,2026-02-28
