date,residual,phase,metodo,evento,carburante,break_date
2026-01-19,0.0015193411085650255,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-20,-0.008344183223125384,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-21,-0.016787228052638714,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-22,-0.004543414422504222,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-23,7.180536138387539e-05,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-24,0.001739231691836124,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-25,0.0021566580222883713,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-26,0.001290857203292639,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-27,0.0017109393561765274,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-28,-0.0036373014889981292,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-29,-0.015964720705832547,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-30,-0.03816354739631256,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-01-31,-0.03173612106586035,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-01,-0.0307586947354081,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-02,0.004603096818121932,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-03,0.00794022248180562,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-04,0.007047446559040466,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-05,0.007167807270840765,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-06,-0.0009251855450085888,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-07,-0.0005377592145564269,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-08,-0.00045033288410420425,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-09,0.0005251855450086329,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-10,0.011163232923948607,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-11,0.0010613704444134842,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-12,0.0016657316268077482,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-13,0.021471164375772123,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-14,0.021938590706224365,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-15,0.022056017036676562,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-16,0.016723137147912626,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-17,0.02093241803645518,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
2026-02-18,0.0018098687689748483,pre,v7_theilsen,Hormuz (Feb 2026),gasolio,2026-02-28
