date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.012512151299928442,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-05,0.005538179005105226,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-06,0.0028463910796041325,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-07,-0.0021678927836097373,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-08,-0.008901335129035653,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-09,-0.010673123054536715,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-10,-0.011694910980037748,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-11,-0.01879816802006476,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-12,-0.020415751637397728,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-13,-0.017467539562898732,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-14,-0.008948655153256713,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-15,-0.004712351701090273,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-16,-0.008464139626591316,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-17,-0.008905927552092407,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-18,-0.0075238261688545804,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-19,0.0044257138826528375,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-20,0.005449324539386707,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-21,0.007850239002364034,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-22,0.010036545820941406,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-23,0.009514757895440457,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-24,0.008902969969939334,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-25,0.0098922986156261,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-26,0.009850510690125047,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-27,0.010134180117138541,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-28,0.007598094971741465,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-29,0.010437232848771238,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-30,0.009555444923270234,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-31,0.008543656997769156,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-01,0.0018187173654850286,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-02,-0.002480163079544573,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-03,-0.003741951005045624,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-04,-0.001514036153726278,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-05,-0.001877349068763079,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-06,-0.002639136994264185,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-07,-0.0030209249197652444,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-08,-0.003332712845266289,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-09,-0.005832026088404607,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-10,-0.015623823738337872,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-11,-0.011678582364724771,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-12,-0.011210370290225813,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-13,-0.009772158215726828,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-14,-0.0038339461412278952,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-15,-0.005714480367083358,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-16,-0.013029426567682745,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-17,-0.009527453290346488,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-18,-0.01014227097251455,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-19,-0.0029140588980156035,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-20,0.00691415317648339,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-21,0.014842365250982259,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-22,0.023299537063081827,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-23,0.01707774913758084,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-24,0.03032787410336657,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-25,0.03117756613608577,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-26,0.03343026362848406,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-27,0.03180847570298298,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-28,0.029116687777481887,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-29,0.05051177810735674,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-30,0.04132166233647391,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-01,0.03835987441097283,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-02,0.031482511537388985,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
