date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.008850016979114389,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-05,0.020043731233910678,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-06,0.001197802295160727,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-07,0.01135951262474949,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-08,0.0006783622748131046,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-09,-0.008665543320670377,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-10,-0.009234929394506153,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-11,-0.008924315468342076,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-12,-0.006806375183811497,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-13,-0.02855621635803393,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-14,-0.02454874131523388,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-15,-0.015426362326725868,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-16,-0.0023059319887277496,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-17,0.002224681937436329,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-18,0.003925295863600409,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-19,-0.010923329589852121,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-20,-0.0036036481368978412,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-21,-0.0005351958634343401,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-22,0.004565497402291507,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-23,-0.0001588075677585732,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-24,0.00010180635840550956,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-25,0.0008224202845696083,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-26,0.005749697802284237,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-27,0.009116038699425372,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-28,-0.0011047787909092555,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-29,0.0012654136443966124,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-30,0.014138513385054785,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-31,0.014029127311218886,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-01,0.014369741237383049,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-02,0.004071112558277412,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-03,-0.0014060537393888184,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-04,0.008559583986550712,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-05,0.004555961268781078,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-06,-0.0035920685462065838,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-07,-0.0027014546200424816,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-08,-0.0019108406938784794,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-09,-0.011186454783030902,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-10,-0.015156974394794298,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-11,-0.007557094267536341,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-12,-0.002887123699887306,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-13,-0.02484618906343014,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-14,-0.017495575137266017,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-15,-0.01496496121110194,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
