date,residual,phase,metodo,evento,carburante,break_date
2022-01-15,-0.00052331175457071,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-16,-0.0010999533295120434,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-17,-0.004274020703403131,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-18,-0.003534533550901553,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-19,-0.003375310484584587,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-20,0.0029457166315655092,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-21,0.007461649257674424,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-22,0.010687581883783326,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-23,0.013743309370062767,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-24,0.007154431721936194,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-25,0.007025555762656122,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-26,0.008319601529853254,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-27,0.007590349764358684,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-28,0.012146282390467639,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-29,0.019132215016576637,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-30,-0.015703341684971422,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-31,-0.01957381333002084,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-01,-0.016501293704648173,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-02,-0.018134019553515512,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-03,-0.02290589042741631,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-04,-0.021329957801307337,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-05,-0.017274025175198437,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-06,-0.00985724109541361,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-07,-0.005398829708332498,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-08,-0.00832908997266027,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-09,-0.007309408518101412,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-10,-0.015883622468707864,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-11,-0.01411768984259898,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-12,-0.012091757216489973,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-13,-0.017665657702550436,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-14,-0.007498134289893654,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-15,-0.008727670830531192,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-16,0.0024196817081202915,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-17,0.007256146679466197,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-18,0.009842079305575124,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-19,0.01164801193168405,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-20,0.0073345055607619,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-21,0.004730438186870911,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-22,0.004409177861100039,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-23,0.007293221145772966,pre,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-24,0.008837789521883438,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-25,0.014213722147992325,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-26,0.02251965477410131,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-27,-0.005717793437280794,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-28,-0.034729597317750466,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-01,-0.07725477355570878,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-02,-0.06844037432375633,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-03,-0.11534075700455623,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-04,-0.09275482437844729,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-05,-0.04991889175233824,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-06,-0.0617889310489777,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-07,-0.09661641312896682,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-08,0.006575723059144778,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-09,0.09636526413018026,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-10,0.13911641306709135,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-11,0.1613323456932001,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-12,0.1721482783193092,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-13,0.190433353362144,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-14,0.17338253775853632,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-17,0.1562652670435331,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-18,0.1693711996696421,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-19,0.13420713229575107,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-20,0.1176997281439695,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-21,0.1174280810314339,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-22,0.09704940284606889,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-23,-0.10734526015290494,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-24,-0.16917433895738015,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-25,-0.16784840633127115,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-26,-0.16658247370516222,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-27,-0.1625858154848963,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-28,0.13186514997589785,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-29,0.13224086288483006,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-30,0.14257640779740796,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-31,0.14259357033636638,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-01,0.13616950296247535,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-02,0.12817543558858435,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-03,0.11005582483579043,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-04,0.12282059370984913,post,v7_theilsen,Ucraina (Feb 2022),benzina,2022-02-24
