date,residual,phase,metodo,evento,carburante,break_date
2022-01-15,0.0157827528690469,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-16,0.016292758285884085,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-17,0.00035853563015664225,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-18,0.0013336734789307358,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-19,-0.005810536782112796,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-20,0.00120339929883298,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-21,0.006902804639560722,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-22,0.009732810056397923,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-23,0.010092815473235095,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-24,0.01794887509691373,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-25,0.01300498852538226,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-26,-0.006243346437132535,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-27,-0.009639479400980006,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-28,-0.020068747890482463,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-29,-0.013808742473645247,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-30,-0.012658737056807978,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-31,-0.01160814592188722,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-01,-0.007452445951337483,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-02,-0.0004669828208215543,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-03,-0.010651602390120196,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-04,-0.026689523716945468,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-05,-0.023249518300108296,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-06,-0.022619512883271103,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-07,-0.026664192912183804,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-08,0.0056728885406596985,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-09,-0.004416912854214028,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-10,-0.003263022143739608,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-11,-0.0008139586677966548,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-12,0.0003260467490405483,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-13,0.00042605216587771055,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-14,-0.015325926622298647,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-15,0.0003838310787678545,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-16,-0.006693200950464884,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-17,0.017209251598767267,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-18,0.01689886624472864,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-19,0.017778871661565915,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-20,0.01765887707840308,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-21,0.003082446669006228,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-22,-0.005051131710368251,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-23,0.0011737425659784917,pre,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-24,-0.043768695405293045,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-25,-0.00499722315991305,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-26,0.0028427822569240813,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-27,0.004952787673761311,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-28,-0.03234769074797239,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-01,-0.0863762703946798,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-02,-0.14549951505375142,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-03,-0.1702662449904729,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-04,-0.21328434774784089,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-05,-0.16240434233100368,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-06,-0.14080433691416644,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-07,-0.25547353545175194,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-08,-0.3574589012792805,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-09,-0.2804232532198492,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-10,-0.16975529890575383,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
2022-03-11,0.24743820268947453,post,v7_theilsen,Ucraina (Feb 2022),gasolio,2022-02-24
