date,residual,phase,metodo,evento,carburante,break_date
2026-01-19,-0.004655380701644618,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-20,-0.005199665321840352,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-21,-0.004219744722429586,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-22,0.0004368956954713399,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-23,0.0028968162948820875,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-24,0.0037967368942927737,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-25,0.010351730247763757,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-26,0.008808614013098626,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-27,0.010368594017592325,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-28,0.014285319586063883,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-29,-0.011777465903112405,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-30,-0.009737545303701745,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-31,-0.009267624704290989,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-01,0.004878197333230527,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-02,-0.0038420995101135502,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-03,-0.013723472693139116,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-04,-0.014203552093728367,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-05,-0.011544960230520318,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-06,-0.011425039631109524,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-07,-0.01143511903169886,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-08,-0.016279012771682144,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-09,-0.01536876464967607,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-10,-0.013235423464091955,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-11,-0.005241190341324475,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-12,-0.004131269741913801,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-13,-0.002471349142503021,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-14,-0.00248142854309219,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-15,-0.0018064892989107517,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-16,-0.0023465686994999513,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-17,-0.008681362874305432,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-18,-0.012506548816722585,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-19,-0.014165985619288113,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-20,-0.010466065019877346,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-21,-0.005816144420466629,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-22,-0.004036763590085202,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-23,-0.003319097638452395,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-24,-0.001669839955246999,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-25,0.0006518714898916533,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-26,-0.018116029205589468,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-27,-0.016986108606178774,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-28,-0.015436188006767937,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-01,-0.03838281729418441,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-02,-0.06365490789801959,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-03,-0.05216657145940595,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-04,-0.05108201954330954,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-05,-0.03126209894389881,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-06,-0.01184217834448803,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-07,0.002637742254922637,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-08,-0.03576490405437116,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-09,-0.017315725294008877,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-10,-0.01759289670376979,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-11,-0.03668349182682401,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-12,-0.043945338170010895,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-13,-0.03624541757060018,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-14,-0.023375496971189513,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-15,-0.020039278917323655,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-16,-0.04711328499960726,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-17,-0.03331502630575456,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-18,-0.025831766489036623,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-19,-0.01703841675618084,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-20,-0.16694849615677004,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-21,-0.18737857555735932,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-22,-0.15819257844783496,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-23,0.04933477019462018,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-24,0.07273521563084878,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-25,0.07537813036063995,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-26,0.07119937593031861,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-27,0.07185929652972933,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-28,0.07320921712914008,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-02-28
