date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.0052819865799224874,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-05,-0.0013069179915345674,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-06,-0.003613638193669444,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-07,-0.008242854333517124,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-08,-0.014591228955576824,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-09,-0.01597794915771167,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-10,-0.016614669359846512,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-11,-0.023332858676507334,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-12,-0.024565374570474113,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-13,-0.0212320947726089,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-14,-0.012328142639600664,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-15,-0.007706771464068035,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-16,-0.011073491666202862,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-17,-0.011130211868337792,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-18,-0.009363042761733747,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-19,0.0029715650131398597,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-20,0.0043802433932399465,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-21,0.007166225579583491,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-22,0.009737600121527051,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-23,0.009600879919392291,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-24,0.009374159717257358,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-25,0.01074855608631034,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-26,0.011091835884175505,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-27,0.011760573034555188,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-28,0.009609555612524329,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-29,0.012833761212920264,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-30,0.012337041010785477,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-31,0.011710320808650587,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-01,0.005370448899732677,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-02,0.0014566361780692927,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-03,0.0005799159759344308,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-04,0.003192898550619966,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-05,0.0032146533589493542,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-06,0.002837933156814465,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-07,0.0028412129546796228,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-08,0.0029144927525447673,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-09,0.0008002472327726662,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-10,-0.008606482693794437,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-11,-0.004276173596815119,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-13
