date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.00713334641729324,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-05,0.018398024520493106,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-06,-0.0003769405698532957,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-07,0.009855733608139045,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-08,-0.0007544528933938199,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-09,-0.010027394640473697,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-10,-0.010525816865905924,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-11,-0.010144239091338297,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-12,-0.00795533495840417,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-13,-0.029634212284223027,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-14,-0.0255557733930194,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-15,-0.016362430556107838,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-16,-0.0031710363697061428,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-17,0.001430541404861485,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-18,0.0032021191794291415,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-19,-0.01157554242561984,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-20,-0.004184897124261983,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-21,-0.0010454810023949324,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-22,0.004126176111734492,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-23,-0.0005271650099120118,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-24,-0.00019558723534437994,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-25,0.0005959905392232956,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-26,0.0055942319053414735,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-27,0.009031536650886185,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-28,-0.0011183169910448931,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-29,0.0013228392926645516,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-30,0.014266902881726273,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-31,0.014228480656293951,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-01,0.014640058430861663,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-02,0.004412393600159575,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-03,-0.000993808849103106,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-04,0.009042792725240001,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-05,0.005110133855873944,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-06,-0.0029669321107101687,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-07,-0.0020053543361424897,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-13
