date,residual,phase,metodo,evento,carburante,break_date
2022-01-15,-0.0013211495231608694,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-16,-0.0020889177960848604,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-17,-0.005454111867958578,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-18,-0.004905751413439685,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-19,-0.004937655045105377,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-20,0.001192245373062062,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-21,0.005517051301188319,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-22,0.008551857229314563,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-23,0.011416458017611347,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-24,0.0046364536715021165,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-25,0.004316451014239386,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-26,0.005419370083453862,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-27,0.004498991619976633,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-28,0.00886379754810293,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-29,0.01565860347622927,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-30,-0.019368079923301446,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-31,-0.02342967826633352,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-01,-0.02054828533894354,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-02,-0.022372137885793536,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-03,-0.027335135457676962,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-04,-0.025950329529550648,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-05,-0.022085523601424406,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-06,-0.014859866219622236,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-07,-0.010592581530523781,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-08,-0.013713968492834239,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-09,-0.012885413736258039,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-10,-0.02165075438484715,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-11,-0.02007594845672092,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-12,-0.018241142528594545,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-13,-0.024006169712637665,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-14,-0.014029772997963569,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-15,-0.015450436236583764,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-16,-0.004494210395914938,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-17,0.00015112787744830936,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-18,0.0025459338055745795,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-19,0.004160739733700847,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-20,-0.00034389333520393195,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-21,-0.0031390874070776065,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-22,-0.0036514744308311364,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-23,-0.0009585578441408671,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-24,0.0003948838339869476,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-25,0.005579689762113177,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-26,0.013694495690239505,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-27,-0.014734079219125257,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-28,-0.043937009797577614,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-01,-0.08665331273351856,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-02,-0.07803004019954876,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-03,-0.12512154957833133,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-04,-0.10272674365020504,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-05,-0.06008193772207865,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-06,-0.07214310371670077,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-07,-0.10716171249467257,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-08,-0.004160703004543631,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-09,0.08543771136850922,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-10,0.12799773360743766,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-11,0.15002253953556374,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-12,0.1606473454636902,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-13,0.1787412938085423,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-14,0.16149935150695197,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-17,0.14380870069800078,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-18,0.15672350662612713,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-19,0.12136831255425345,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-20,0.1046697817044892,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-21,0.10420700789397094,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-22,0.08363720301062327,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-23,-0.12094858668633321,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-24,-0.18296879218879109,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-25,-0.18183398626066474,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-26,-0.18075918033253846,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-27,-0.17695364881025522,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-28,0.11730618995255629,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-29,0.11749077616350584,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-30,0.12763519437810109,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-03-31,0.12746123021907685,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-01,0.12084603614720316,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-02,0.1126608420753295,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-03,0.0943501046245529,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
2022-04-04,0.10692374680062897,post,v8_pymc,Ucraina (Feb 2022),benzina,2022-02-24
