date,residual,phase,metodo,evento,carburante,break_date
2022-01-15,0.010682653161486755,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-16,0.011489133952163166,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-17,-0.004148613329725048,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-18,-0.002877000107111727,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-19,-0.009724734994316031,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-20,-0.002414323539531027,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-21,0.003581557175035943,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-22,0.0067080379657123435,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-23,0.0073645187563887715,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-24,0.015517053753906607,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-25,0.010869642556214365,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-26,-0.008082217032461203,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-27,-0.011181874622469445,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-28,-0.021314667738132675,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-29,-0.014758186947456231,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-30,-0.013311706156779735,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-31,-0.011964639648019748,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-01,-0.007512464303630784,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-02,-0.0002305257992756271,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-03,-0.010118669994735041,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-04,-0.025860115947721085,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-05,-0.022123635157044685,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-06,-0.021197154366368265,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-07,-0.024945359021441738,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-08,0.007688197805240993,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-09,-0.002105128215793506,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-10,-0.000654762131479858,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-11,0.002090776718302323,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-12,0.003527257508978754,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-13,0.003923738299655144,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-14,-0.011531765114682013,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-15,0.004474467960223716,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-16,-0.0023060886951697945,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-17,0.021892839227901584,pre,v8_pymc,Ucraina (Feb 2022),gasolio,2022-02-24
