label,n,mean_extra,median_extra,std_extra,phi_ar1,n_eff,hodges_lehmann,sign_p,sign_n_pos,sign_n,wilcox_stat,wilcox_p,ttest_neff_t,ttest_neff_p,ttest_neff_df,bootstrap_p,evento,carburante,metodo
v1_naive,32,-0.0026,-0.00657,0.06778,0.7283,5.0,-0.005672,0.974949,11,32,235.0,0.707012,-0.086,0.532234,4.0,0.548274,Hormuz (Feb 2026),benzina,v1_naive
v3_arima,32,-0.012509,-0.016887,0.066466,0.7172,5.3,-0.014298,0.989969,10,32,216.0,0.815299,-0.432,0.656679,4.3,0.764382,Hormuz (Feb 2026),benzina,v3_arima
v7_theilsen,32,-0.005555,-0.009465,0.067547,0.7265,5.1,-0.008484,0.989969,10,32,231.0,0.731969,-0.1852,0.569015,4.1,0.606803,Hormuz (Feb 2026),benzina,v7_theilsen
v8_pymc,32,-0.018017,-0.021707,0.066735,0.7201,5.2,-0.020276,0.989969,10,32,206.0,0.860935,-0.616,0.715171,4.2,0.849425,Hormuz (Feb 2026),benzina,v8_pymc
v1_naive,32,-0.044665,-0.010698,0.087231,0.6372,7.1,-0.031098,0.9965,9,32,124.0,0.996333,-1.3634,0.889506,6.1,0.972986,Hormuz (Feb 2026),gasolio,v1_naive
v3_arima,32,-0.025525,0.005272,0.087726,0.6411,7.0,-0.013211,0.298307,18,32,228.0,0.749976,-0.7698,0.76467,6.0,0.875438,Hormuz (Feb 2026),gasolio,v3_arima
v7_theilsen,32,-0.049555,-0.015741,0.0872,0.637,7.1,-0.036007,0.9965,9,32,87.0,0.999743,-1.5139,0.909976,6.1,0.982491,Hormuz (Feb 2026),gasolio,v7_theilsen
v8_pymc,32,-0.040422,-0.006004,0.087331,0.638,7.1,-0.0268,0.892336,13,32,152.0,0.98294,-1.2309,0.868045,6.1,0.961481,Hormuz (Feb 2026),gasolio,v8_pymc
v1_naive,40,0.015003,0.013733,0.014362,0.9101,2.0,0.014209,2.1e-05,33,40,778.0,0.0,1.4774,0.189404,1.0,0.0005,Iran-Israele (Giu 2025),benzina,v1_naive
v3_arima,40,0.015003,0.013733,0.014362,0.9101,2.0,0.014209,2.1e-05,33,40,778.0,0.0,1.4774,0.189404,1.0,0.0005,Iran-Israele (Giu 2025),benzina,v3_arima
v7_theilsen,40,0.015283,0.014296,0.014464,0.9113,2.0,0.014689,2.1e-05,33,40,782.0,0.0,1.4943,0.187724,1.0,0.0005,Iran-Israele (Giu 2025),benzina,v7_theilsen
v8_pymc,40,0.030964,0.033667,0.016072,0.9277,2.0,0.03327,0.0,37,40,811.0,0.0,2.7246,0.11197,1.0,0.0005,Iran-Israele (Giu 2025),benzina,v8_pymc
v1_naive,40,0.026081,0.041765,0.037947,0.8768,2.6,0.026846,0.019239,27,40,674.0,0.00011,1.1136,0.201619,1.6,0.002001,Iran-Israele (Giu 2025),gasolio,v1_naive
v3_arima,40,-0.007961,-0.005625,0.03177,0.8284,3.8,-0.00776,0.92307,16,40,307.0,0.91705,-0.4855,0.668341,2.8,0.845423,Iran-Israele (Giu 2025),gasolio,v3_arima
v7_theilsen,40,0.026377,0.042338,0.038132,0.878,2.6,0.026879,0.019239,27,40,674.0,0.00011,1.1153,0.202253,1.6,0.002001,Iran-Israele (Giu 2025),gasolio,v7_theilsen
v8_pymc,40,0.028883,0.045482,0.038568,0.8806,2.5,0.028984,0.008295,28,40,689.0,4.1e-05,1.1937,0.192263,1.5,0.001001,Iran-Israele (Giu 2025),gasolio,v8_pymc
v1_naive,38,0.043524,0.102143,0.118136,0.8376,3.4,0.042883,0.071653,24,38,524.0,0.012649,0.6752,0.279866,2.4,0.069535,Ucraina (Feb 2022),benzina,v1_naive
v3_arima,38,0.026709,0.085328,0.117222,0.8352,3.4,0.027052,0.127938,23,38,471.0,0.074235,0.4209,0.354216,2.4,0.173587,Ucraina (Feb 2022),benzina,v3_arima
v7_theilsen,38,0.038088,0.096707,0.117882,0.8369,3.4,0.037663,0.071653,24,38,514.0,0.018532,0.5934,0.302295,2.4,0.096548,Ucraina (Feb 2022),benzina,v7_theilsen
v8_pymc,38,0.025918,0.084537,0.11725,0.8353,3.4,0.026289,0.127938,23,38,467.0,0.082835,0.4082,0.358286,2.4,0.177089,Ucraina (Feb 2022),benzina,v8_pymc
v1_naive,38,-0.022378,0.006188,0.181312,0.8184,3.8,-0.019247,0.435707,20,38,319.0,0.772431,-0.2405,0.586741,2.8,0.681341,Ucraina (Feb 2022),gasolio,v1_naive
v3_arima,38,-0.021772,0.006188,0.181418,0.8186,3.8,-0.018641,0.435707,20,38,322.0,0.759164,-0.2336,0.584318,2.8,0.676338,Ucraina (Feb 2022),gasolio,v3_arima
v7_theilsen,38,-0.025254,0.003898,0.181218,0.8182,3.8,-0.022159,0.435707,20,38,311.0,0.805768,-0.2717,0.597662,2.8,0.70035,Ucraina (Feb 2022),gasolio,v7_theilsen
v8_pymc,38,-0.012714,0.011398,0.182054,0.8198,3.8,-0.011172,0.313551,21,38,341.0,0.666499,-0.1355,0.549248,2.8,0.5998,Ucraina (Feb 2022),gasolio,v8_pymc
