date,residual,phase,metodo,evento,carburante,break_date
2026-02-05,-0.008741745136408241,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-06,-0.007826933562919636,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-07,-0.007042121989431105,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-08,-0.011091124755336579,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-09,-0.009385985659252694,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-10,-0.006457753499590657,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-11,0.002331370597254634,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-12,0.004236182170743175,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-13,0.006690993744231766,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-14,0.007475805317720408,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-15,0.008945635535979712,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-16,0.00920044710946838,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-17,0.0036605439087407654,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-18,0.0006302489404014233,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-19,-0.0002342968880862939,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-20,0.004260514685402339,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-21,0.009705326258890867,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-22,0.012279598063350217,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-23,0.013792154989060834,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-24,0.01623630364634404,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-25,0.01935290606556056,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-26,0.0013798963441572498,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-27,0.0033047079176458105,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-28,0.005649519491134514,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-01,-0.01650221882220415,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-02,-0.04097941845196146,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-03,-0.028696191039270014,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-04,-0.026816748149095737,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-05,-0.006201936575607192,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-06,0.014012874997881453,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-07,0.029287686571369986,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-08,-0.008320068763846,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-09,0.01092400097059415,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-10,0.011441720534911048,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-11,-0.0068539836140653065,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-12,-0.013320938983174324,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-13,-0.004826127409685799,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-14,0.008838684163802735,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-15,0.012969793191746404,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-16,-0.013309321916459366,pre,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-17,0.001283827751471206,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-18,0.009561978542266952,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-19,0.01915021924920063,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-20,0.07732503082268921,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-21,0.05768984239617775,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-22,0.08767073047978,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-23,0.08870297009631298,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-24,0.11289830650661944,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-25,0.11633611221048845,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-26,0.11295224875424492,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-27,0.11440706032773351,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-28,0.1165518719012221,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-29,0.11405771743926621,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-30,0.06613441978636928,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-31,0.09230833376446551,post,v1_naive,Hormuz (Feb 2026),benzina,2026-03-17
