date,residual,phase,metodo,evento,carburante,break_date
2025-05-12,-0.027512854056813807,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-13,-0.010829509522875952,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-14,-0.0019554926537949935,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-15,0.002635943257810358,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-16,-0.0007607122082517459,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-17,-0.0008473676743138425,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-18,0.0008898661683628961,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-19,-0.00018546132069080512,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-20,0.0011932817954819763,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-21,0.003949328717898215,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-22,0.006490767995914526,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-23,0.00632411252985246,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-24,0.006067457063790277,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-25,0.007411918168915954,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-26,0.0077252627028538134,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-27,0.008364064589306247,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-28,0.006183111903348082,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-29,0.00937738223981674,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-30,0.008850726773754675,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-31,0.008194071307692508,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-01,0.0018242641348473199,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-02,-0.00211948385074337,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-03,-0.0030261393168055095,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-04,-0.0004430920060472521,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-05,-0.00045127246164514134,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-06,-0.000857927927707336,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-07,-0.0008845833937694558,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-08,-0.000841238859831589,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-09,-0.0029854196435309677,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-10,-0.012422084834025349,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-11,-0.008121711000973336,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-12,-0.007298366467035439,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-13,-0.0055050219330975425,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-14,0.0007883226008403021,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-15,-0.000737079165576221,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-21
