date,residual,phase,metodo,evento,carburante,break_date
2025-05-15,-0.03396712957223397,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-16,-0.020359295721009196,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-17,-0.015341278281618326,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-18,-0.013153260842227565,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-19,-0.0102544827824535,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-20,-0.0024473978162725396,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-21,0.0011084579704176423,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-22,0.006696554749370143,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-23,0.002459653292546743,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-24,0.0032076707319375064,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-25,0.004415688171328258,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-26,0.009830369202269568,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-27,0.013684113612637383,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-28,0.003950699635529409,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-29,0.0068082955840619575,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-30,0.02016879883794681,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-31,0.020546816277337565,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-01,0.02137483371672838,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-02,0.011563608550849397,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-03,0.006573845766409847,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-04,0.01702688700557603,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-05,0.013510667801033077,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-06,0.005850041499272096,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-07,0.007228058938662851,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-08,0.008506076378053534,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-09,-0.00028213419787220806,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-10,-0.0037652502964089507,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-11,0.0043220333440756875,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-12,0.009479407424951403,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-13,-0.011992254425364779,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-14,-0.004154236985973975,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-15,-0.0011362195465832448,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-16,-0.003283062816397231,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-17,-0.026874122409009188,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-18,-0.024244333992674255,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-19,-0.057439320578705544,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-20,-0.009995448430004328,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-21,0.008352569009386496,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-22,0.013650586448777202,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-23,0.018373494745649976,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-24,0.08847141154803648,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-25,0.08216888030896224,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-26,0.07918151018379394,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-27,0.09239239074952046,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-28,0.09119040818891133,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-29,0.09195842562830209,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-30,0.08712108232163426,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-01,0.0908863474919532,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-02,0.08179377910813945,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-03,0.07392087702299285,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-04,0.06705113883838623,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-05,0.06780915627777706,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-06,0.06895717371716786,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-07,0.037733193369207246,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-08,0.02345707359063509,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-09,0.01999049568727923,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-10,0.02270083621435906,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-11,0.0680939075867032,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-12,0.07007192502609388,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-13,0.0717099424654847,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-24
