date,residual,phase,metodo,evento,carburante,break_date
2026-02-05,0.00864911648594996,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-06,0.002441421952801781,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-07,0.002335890113924932,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-08,-0.0025087989637460617,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-09,0.0019203065144522413,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-10,0.0033827328631870768,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-11,0.009815478509398123,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-12,0.005096411342236595,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-13,0.005940029275715852,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-14,0.0047131748605040436,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-15,0.005387318766997717,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-16,0.0043476603458688645,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-17,-0.0016020194487947892,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-18,-0.0008227764008417737,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-19,0.00029489087220074817,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-20,0.0051949652841065674,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-21,0.007142722521022105,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-22,0.005528215022987337,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-23,0.004942123197684722,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-24,0.006060691196923429,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-25,0.007173391633069792,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-26,-0.013293154866726664,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-27,0.0014941317591668501,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-28,0.0022131870617847493,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-01,-0.021870122770516254,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-02,-0.030442183250132038,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-03,-0.0005605749506144009,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-04,-0.00784917764011997,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-05,0.011172912031886667,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-06,0.016153188794436835,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-07,0.016484718174216872,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-08,-0.03246934953191816,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-09,0.013933872876593034,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-10,0.00021513800039502096,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-11,-0.018681774343565827,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-12,-0.012051290668779469,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-13,0.0009280748468757094,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-14,0.008183305911492189,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-15,0.00214039435286717,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-16,-0.027370951796203802,pre,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-17,0.006132610256365939,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-18,0.00802613518043574,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-19,0.012741288153336694,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-20,0.0671436105857669,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-21,0.044537313570005344,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-22,0.0721306035221358,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-23,0.07120011737721932,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-24,0.09374209100047065,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-25,0.09575179085720031,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-26,0.09110383823706669,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-27,0.0914139863673295,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-28,0.09250109213186242,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-29,0.08901254845737405,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-30,0.04014096440300058,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-31,0.06540016089057438,post,v3_arima,Hormuz (Feb 2026),benzina,2026-03-17
