date,residual,phase,metodo,evento,carburante,break_date
2025-05-12,-0.023709019147144683,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-13,0.013825156252071924,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-14,-0.0011406546913358684,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-15,0.0001687381216194661,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-16,-0.004811938094217205,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-17,0.0020456708280356117,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-18,0.002103955245511352,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-19,-0.001381763115311574,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-20,0.00232623294571499,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-21,0.002639410162263711,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-22,0.002161933009475814,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-23,-1.653533127810025e-05,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-24,0.00125122161297897,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-25,0.002829575988431199,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-26,0.0011730150484670354,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-27,0.0020656186917802077,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-28,-0.0008374914378427301,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-29,0.005602806578140884,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-30,-0.00038880854951073296,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-31,0.001304236026107436,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-01,-0.004480505612843216,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-02,-0.00021071243819337226,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-03,0.0008496759482092275,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-04,0.002573199108110047,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-05,-0.0014122511987599284,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-06,-0.0004862868704702539,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-07,5.63222920413331e-06,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-08,-0.00015207995190802404,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-09,-0.002393517068767337,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-10,-0.008944108748490553,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-11,0.006925739515416307,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-12,-0.0029884005178568984,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-13,-8.733125661053442e-05,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-14,0.004194427950961088,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-15,-0.0048988844138533605,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-16,-0.00654799570140141,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-17,0.005864568333884712,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-18,-0.0032442609523356536,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-19,0.006674688496312475,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-20,0.006482083413415773,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-21,0.007189348010492536,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-22,0.014890602537826453,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-23,0.007912897327559787,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-24,0.020407105008579896,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-25,0.02050087975653342,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-26,0.021997659964166083,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-27,0.019619954753899327,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-28,0.01617224954363261,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-29,0.03681142258874176,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-30,0.02686538953309331,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-01,0.023147684322826545,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-02,0.01551440416447708,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-03,0.004814175532865728,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-04,0.001656470322599024,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-05,-0.0005412348876676631,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-06,-0.001898940097934343,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-07,-0.005233856870074272,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-08,-0.007011562080340927,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-09,-0.003369146267422518,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-10,-0.008250668517153337,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-11,-0.008708373727420005,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-12,-0.010096078937686714,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-13,-0.010205011830016764,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-14,-0.010189120774043325,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-15,-0.009807966000114021,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-16,-0.0162941115724739,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-17,-0.015499433276873698,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-18,-0.01756713848714042,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-19,-0.01863484369740709,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-21
