date,residual,phase,metodo,evento,carburante,break_date
2025-05-15,-0.00447129704877372,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-16,0.011475231838970007,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-17,0.0048047043159044345,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-18,0.002540414576034683,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-19,0.0033709355857492185,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-20,0.008511004155985213,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-21,0.0052649849904135015,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-22,0.007632529599658017,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-23,-0.001536925581703874,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-24,0.002555318455904537,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-25,0.002908164423345072,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-26,0.007080160533773389,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-27,0.006147440207748128,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-28,-0.0070574734343915035,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-29,0.003774724159757492,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-30,0.014502903674102369,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-31,0.0034007325264938104,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-01,0.0036852740938652373,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-02,-0.007048516187192377,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-03,-0.003998127582325428,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-04,0.01043336610148024,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-05,-0.0021137359685650114,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-06,-0.007037253204497718,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-07,0.0005692069670052979,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-08,0.00046132799402290314,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-09,-0.00962853694024049,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-10,-0.005933310153128785,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-11,0.004863195816734972,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-12,0.0029826498267355173,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-24
