metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,sw_stat,sw_p,lb_stat,lb_p,diag_n_lags,sarima_bench_gain_meur,sarima_bench_rmse,sarima_bench_aic,approccio,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,best_approach,is_best,transfer_fn,note,sarima_sw_stat,sarima_sw_p,sarima_lb_stat,sarima_lb_p
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,40,40,40,25,"(1, 0, 0)",0.8462,0.0001,8.462,0.5838,10,-2.6,0.11137,-118.78,A,0.14428,3.607,96.0,53.6,138.4,,-184.47,-179.4,0.14648,45.161,A,True,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,40,40,40,25,"(1, 0, 0)",0.8462,0.0001,8.462,0.5838,10,-2.6,0.11137,-118.78,B,0.16621,4.1552,110.7,6.1,215.2,,-293.74,-286.98,0.16788,52.174,A,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,40,40,40,25,"(1, 0, 0)",0.8462,0.0001,8.462,0.5838,10,-2.6,0.11137,-118.78,C,0.19669,4.9173,131.0,91.6,170.4,,-164.54,-161.17,0.19809,61.878,A,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-09,40,40,40,25,"(1, 0, 0)",0.8462,0.0001,8.462,0.5838,10,-2.6,0.11137,-118.78,S,-0.00264,-0.0659,-2.6,-222.0,216.9,,-118.78,-115.98,0.11137,30.281,A,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.6745,0.0,8.383,0.5915
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,40,40,40,23,"(2, 1, 0)",0.9413,0.0383,2.47,0.9913,10,513.9,0.3065,-93.56,A,0.34681,7.9766,627.4,287.9,966.9,,-148.84,-143.85,0.35522,118.133,B,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,40,40,40,23,"(2, 1, 0)",0.9413,0.0383,2.47,0.9913,10,513.9,0.3065,-93.56,B,0.33158,7.6263,599.6,138.4,1060.9,,-251.39,-244.64,0.3379,113.533,B,True,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,40,40,40,23,"(2, 1, 0)",0.9413,0.0383,2.47,0.9913,10,513.9,0.3065,-93.56,C,0.34142,7.8526,617.4,374.3,860.4,,-98.92,-95.54,0.34708,117.464,B,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-11,40,40,40,23,"(2, 1, 0)",0.9413,0.0383,2.47,0.9913,10,513.9,0.3065,-93.56,S,0.28392,6.5302,513.9,-422.4,1450.3,,-93.56,-90.76,0.3065,94.778,B,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.8947,0.0013,5.295,0.8707
v3_arima,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-21,40,40,40,32,"(2, 0, 0)",0.8491,0.0001,6.558,0.7664,10,-20.2,0.03282,-232.95,A,0.02748,0.8793,32.2,8.5,55.9,,-313.49,-306.73,0.0294,10.267,B,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-21,40,40,40,32,"(2, 0, 0)",0.8491,0.0001,6.558,0.7664,10,-20.2,0.03282,-232.95,B,0.00123,0.0395,0.9,-41.0,42.8,,-422.31,-415.55,0.0158,5.076,B,True,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-21,40,40,40,32,"(2, 0, 0)",0.8491,0.0001,6.558,0.7664,10,-20.2,0.03282,-232.95,C,0.03322,1.0629,38.9,21.7,56.1,,-276.62,-273.25,0.03427,12.452,B,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-21,40,40,40,32,"(2, 0, 0)",0.8491,0.0001,6.558,0.7664,10,-20.2,0.03282,-232.95,S,-0.0163,-0.5216,-20.2,-83.9,43.5,,-232.95,-230.15,0.03282,10.855,B,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.406,0.0,11.475,0.3217
