date,residual,phase,metodo,evento,carburante,break_date
2026-02-05,0.2714279888226787,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-06,9.000000021747168e-05,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-07,-0.00013000000020324531,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-08,-0.004899142466311124,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-09,0.002469089715765427,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-10,0.003102401825188117,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-11,0.008347897505864788,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-12,9.966561690166742e-05,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-13,0.0006006296760313612,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-14,-0.0011419310568160368,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-15,-0.0003383464022824745,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-16,-0.0015160631168231742,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-17,-0.007178972364067171,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-18,-0.004100034592377344,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-19,-0.0016060645196140366,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-20,0.0038791485016507754,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-21,0.0045976070329043495,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-22,0.0014444880075682454,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-23,0.0002832121958916134,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-24,0.0011936002614613694,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-25,0.001807896877574433,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-26,-0.019368722478640965,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-27,0.001344905238624572,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-28,0.0018041540248686094,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-01,-0.02276823393159,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-02,-0.024268859391593567,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-03,0.013450320792157688,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-04,0.002715439510152906,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-05,0.021298355870967733,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-06,0.02023218461652615,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-07,0.0145926983748777,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-08,-0.038801551648416144,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-09,0.01903397959862327,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-10,-3.2288173595906855e-07,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-11,-0.01890729020928361,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-12,-0.006618170194999579,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-13,0.008592282297987863,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-14,0.013599735748947434,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-15,0.003724961907966007,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-16,-0.02683155648386093,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-17,0.014574398578219794,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-18,0.022966438987162108,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-19,0.032668569312242324,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-20,0.09095727050387747,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-21,0.07143597169551258,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-22,0.10153074939726137,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-23,0.10267687863194092,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-24,0.12698610466039395,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-25,0.1305377999824095,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-26,0.12726782614431253,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-27,0.1288365273359477,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-28,0.13109522852758282,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-29,0.1287149636837735,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-30,0.08090555564902313,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-31,0.1071933592452659,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-01,0.10813206043690105,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-02,0.10907076162853618,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-03,0.11000946282017132,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-04,0.11094816401180646,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-05,0.1118868652034416,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-06,0.11282556639507674,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-07,0.11376426758671188,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-08,0.11470296877834701,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-09,0.11564166996998215,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-10,0.11658037116161729,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-11,0.11751907235325243,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-12,0.11845777354488757,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-13,0.1193964747365227,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-14,0.12033517592815784,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-15,0.12127387711979298,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-16,0.12221257831142812,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-17,0.12315127950306326,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-18,0.1240899806946984,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-19,0.12502868188633354,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-20,0.12596738307796868,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-21,0.1269060842696038,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-22,0.12784478546123895,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-23,0.1287834866528741,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
2026-04-24,0.12972218784450923,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-03-17
