date,residual,phase,metodo,evento,carburante,break_date
2025-05-12,0.21208224004674248,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-13,0.016540000000000027,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-14,-0.007809327664721061,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-15,-0.006961694401263457,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-16,-0.010695009719928178,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-17,-0.0009238854540902508,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-18,0.0014571239270959324,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-19,-0.0022338550464647833,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-20,0.001566818974795825,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-21,0.0019996261971413354,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-22,0.0005796274764567622,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-23,-0.0024778769842804804,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-24,-0.0010741839725997848,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-25,0.0011744632890748619,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-26,-0.0005646333514201796,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-27,0.00010119149366774605,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-28,-0.0027795624617394377,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-29,0.004271213104905025,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-30,-0.002024449462209671,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-31,-0.0009340879939332691,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-01,-0.006084160514209791,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-02,9.501366819042456e-06,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-03,0.003040866623232358,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-04,0.004697499666160704,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-05,-0.0007254356165370679,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-06,-0.0006866098176333824,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-07,0.00010728659075276425,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-08,0.0001126130178492335,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-09,-0.0021427967402233017,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-10,-0.008143578379062433,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-11,0.010502504410228236,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-12,0.0006944437830440076,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-13,0.0012458245334668328,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-14,0.004994826998029583,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-15,-0.005834859109061674,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-16,-0.007751950438065425,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-17,0.007737935096882476,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-18,-0.0010433727034833418,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-19,0.00742861389726629,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-20,0.0055505591706170865,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-21,0.0003046172773815137,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-22,0.0011381940449459171,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-21
