date,residual,phase,metodo,evento,carburante,break_date
2025-05-15,0.2028971336639559,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-16,0.012179816415779698,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-17,-0.00858981641365486,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-18,-0.007603690852107686,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-19,-0.0045835927683752775,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-20,0.0015892784870854548,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-21,-0.0023699925905701635,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-22,-0.00038430520326615536,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-23,-0.009951772057933267,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-24,-0.0049028885561668845,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-25,-0.0034007147551519956,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-26,0.0012760011662967252,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-27,0.00014752490931163598,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-28,-0.013580923712302961,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-29,-0.0016699949891660348,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-30,0.010337151231916503,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-31,-0.001832774127735276,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-01,-0.0027281742209064597,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-02,-0.013333168728241696,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-03,-0.009131717343671464,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-04,0.0072389130510749355,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-05,-0.005072611613692823,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-06,-0.0104949658119253,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-07,-0.0016954384180676296,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-08,-0.0006604553043943195,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-09,-0.01057638116902529,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-10,-0.006111067622102145,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-11,0.006211813854446385,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-12,0.004590196771033894,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-13,-0.0223816163075381,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-14,0.0042898922983452825,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-15,0.002626754690597477,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-16,-0.002817293401207649,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-17,-0.024855874438562603,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-18,-0.000696337389808177,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-19,-0.03351695116605549,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-20,0.04390033175824831,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-21,0.023322698404698028,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-22,0.0071703467826441936,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-23,0.004426614893549674,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-24,0.06936166659133927,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-25,0.06177306311183661,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-26,0.057499620746239904,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-27,0.06942442907153801,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-28,0.06693637427050045,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-29,0.0664183194694628,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-30,0.060294903922366555,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-01,0.0627740968522571,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-02,0.05239545622801492,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-03,0.043236481902439894,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-04,0.03508067147740487,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-05,0.034552616676367276,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-06,0.03441456187532968,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-07,0.0019045092869406366,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-08,-0.013657682732059945,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-09,-0.018410332875844204,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-10,-0.0169860645891928,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-11,0.027120934542722908,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-12,0.027812879741685198,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-13,0.028164824940647593,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-14,0.03516336739009232,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-15,0.03444152253871802,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-16,0.040738825613749835,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-17,0.02597854845898312,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-18,0.014199140068618804,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-19,0.01537108526758113,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-20,0.015603030466543516,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-21,0.012933716543327256,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-22,0.02727895044180431,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-23,0.03198533029023576,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-24,0.03562521019267026,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-25,0.027656024292836257,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-26,0.026327969491798636,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-27,0.02596991469076093,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-28,0.031295975566308226,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-29,0.02243958143764141,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-30,0.018282539831817518,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-31,0.013594243632194192,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-08-01,0.029342450121097458,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-08-02,0.02840439532005984,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-08-03,0.028246340519022223,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-24
