date,residual,phase,metodo,evento,carburante,break_date
2026-02-05,-0.010231326884759862,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-06,-0.009491515762178715,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-07,-0.008881704639597643,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-08,-0.013105707856410576,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-09,-0.011575569211234205,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-10,-0.008822337502479682,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-11,-0.0002082138565418501,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-12,0.0015215972660392318,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-13,0.0038014083886203642,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-14,0.004411219511201547,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-15,0.005706049278553393,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-16,0.005785860401134546,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-17,7.095674949947339e-05,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-18,-0.003134338669747383,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-19,-0.004173884949142559,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-20,0.00014592617343861525,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-21,0.005415737296019685,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-22,0.00781500864957152,pre,v7_theilsen,Hormuz (Feb 2026),benzina,2026-03-17
