date,residual,phase,metodo,evento,carburante,break_date
2025-05-12,-0.030006053267926047,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-13,-0.013230366080944328,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-14,-0.004264006558819533,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-15,0.00041977200582968277,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-16,-0.0028845408071885847,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-17,-0.002878853620206817,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-18,-0.001049277124486242,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-19,-0.0020322619604961067,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-20,-0.0005611761912794611,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-21,0.002287213384180642,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-22,0.004920995315240789,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-23,0.004846682502222588,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-24,0.004682369689204213,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-25,0.006119173447373755,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-26,0.006524860634355478,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-27,0.007256005173851748,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-28,0.0051673951409374475,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-29,0.00845400813044997,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-30,0.008019695317431713,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-31,0.00745538250441341,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-21
