date,residual,phase,metodo,evento,carburante,break_date
2025-05-15,-0.03706078375726257,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-16,-0.023636528701519027,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-17,-0.018802090057609383,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-18,-0.016797651413699877,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-19,-0.01408245214940701,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-20,-0.006458945978707303,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-21,-0.0030866689874983755,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-22,0.0023178489959729265,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-23,-0.0021026312563316996,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-24,-0.00153819261242219,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-25,-0.0005137539685126646,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-26,0.004717348266947419,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-27,0.00838751388183398,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-28,-0.0015294788907551926,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-29,0.001144538262296102,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-30,0.01432146272069973,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-31,0.014515901364609257,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-01,0.015160340008518874,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-02,0.0051655360471586365,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-03,-7.805532762139578e-06,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-04,0.010261656910922817,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-05,0.00656185891089861,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-06,-0.001282346186343597,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-07,-8.790754243406806e-05,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-08,0.0010065311014753886,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-09,-0.007965258269931608,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-10,-0.011631953163949549,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-24
