date,residual,phase,metodo,evento,carburante,break_date
2026-02-05,-0.0045018196088479345,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-06,-0.004012796521746798,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-07,-0.0036537734346457906,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-08,-0.008128564686938788,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-09,-0.0068492140772423715,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-10,-0.0043467704039679145,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-11,0.004016565206489908,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-12,0.005495588293590925,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-13,0.007524611380691992,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-14,0.007883634467793166,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-15,0.008927676199664947,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-16,0.00875669928676609,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-17,0.002791007599650952,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-18,-0.0006650758550758584,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-19,-0.0019554101699510995,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-20,0.0021136129171500095,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-21,0.0071326360042510695,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-22,0.00928111932232284,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-23,0.010367887761645989,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-24,0.012386247932541672,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-25,0.015077061865370722,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-26,-0.003321736342420112,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-27,-0.001822713255319075,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-02-28,9.630983178210428e-05,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-01,-0.022481216967944084,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-02,-0.04738420508408886,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-03,-0.03552676615778494,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-04,-0.03407311175399813,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-05,-0.01388408866689711,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-06,0.0059049344202039555,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-07,0.02075395750730502,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-08,-0.01727958631429849,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-09,0.0015386949337541922,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-10,0.001630626011683567,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-11,-0.017090866623680367,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-12,-0.023983610479176853,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-13,-0.015914587392075852,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-14,-0.002675564304974787,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-15,0.0010297562365813584,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-16,-0.025675147358011907,pre,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-17,-0.01150778617646886,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-18,-0.003655423872060637,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-19,0.005507028348485543,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-20,0.0632560514355866,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-21,0.04319507452268767,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-22,0.07275017411990237,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-23,0.07335662525004788,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-24,0.09712617317396682,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-25,0.10013819039144828,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-26,0.09632853844881728,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-27,0.09735756153591835,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-28,0.09907658462301944,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-29,0.09615664167467602,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-30,0.047807555535391566,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
2026-03-31,0.0735556810271003,post,v8_pymc,Hormuz (Feb 2026),benzina,2026-03-17
