date,residual,phase,metodo,evento,carburante,break_date
2025-05-12,-0.017013976401259512,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-13,-0.0007121005010692627,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-14,0.007780447734264062,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-15,0.011990415012121808,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-16,0.00821229091231207,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-17,0.007744166812502368,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-18,0.0090999320214315,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-19,0.007643135898630166,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-20,0.008640410381055341,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-21,0.011014988669723974,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-22,0.013174959313992651,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-23,0.01262683521418298,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-24,0.011988711114373163,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-25,0.012951703585751234,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-26,0.012883579485941488,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-27,0.013140912738646288,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-28,0.010578491418940517,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-29,0.013391293121661568,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-30,0.01248316902185187,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-05-31,0.01144504492204207,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-01,0.004693769115449248,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-02,0.0003685524961109521,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-03,-0.0009195716036987933,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-04,0.0012820070733118305,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-05,0.0008923579839663354,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-06,0.0001042338841565349,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-07,-0.0003038902156532186,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-08,-0.0006420143154629576,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-09,-0.00316766373290997,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-10,-0.012985797557151957,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-11,-0.00906689235784755,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-12,-0.008625016457657286,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-13,-0.007213140557466996,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-14,-0.0013012646572767572,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-15,-0.003208135057440914,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-16,-0.010549417432348995,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-17,-0.007073780329321461,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-18,-0.007714934185798217,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-19,-0.0005130582856079646,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-20,0.009288817614582334,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-21,0.01719069351477251,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-22,0.025621529152563383,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-23,0.019373405052753673,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-24,0.03259719384423071,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-25,0.03342054970264122,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-26,0.03564691102073081,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-27,0.03399878692092104,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-28,0.03128066282111125,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-29,0.05264941697667738,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-06-30,0.04343296503148586,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-01,0.04044484093167608,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-02,0.03354114188378354,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-03,0.023570494362629174,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-04,0.0211423702628194,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-05,0.019674246163009695,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-06,0.019046122063199944,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-07,0.016440786401517,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-08,0.015392662301707272,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-09,0.019764659225082665,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-10,0.015612718085808774,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-11,0.015884593985999035,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-12,0.015226469886189309,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-13,0.01584711810431616,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-14,0.016592590270746582,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-15,0.017703326155132815,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-16,0.011946761693229918,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-17,0.01347102109928705,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-18,0.01213289699947731,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-19,0.011794772899667572,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-20,0.012695779292901749,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-21,0.012707655193091971,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
2025-07-22,0.015579428634074993,post,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-21
