date,residual,phase,metodo,evento,carburante,break_date
2025-05-15,-0.025242794170793448,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-16,-0.01234594501641495,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-17,-0.00803891227387038,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-18,-0.006561879531325948,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-19,-0.004374086168398156,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-20,0.0027220141009364762,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-21,0.005566885190780357,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-22,0.010443997272886557,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-23,0.005496111119216857,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-24,0.005533143861761319,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-25,0.00603017660430577,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-26,0.01073387293840078,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-27,0.013876632651922266,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-28,0.003432233977968019,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-29,0.005578845229654239,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-30,0.01822836378669279,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-05-31,0.017895396529237273,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-01,0.018012429271781788,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-02,0.007490219409056503,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-03,0.001789471927770625,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-04,0.011531528470090535,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-05,0.0073043245687012814,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-06,-0.001067286429906028,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-07,-0.0004002536873615459,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-08,0.00016677905518280856,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-09,-0.009332416217589234,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-10,-0.01352651701297225,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-11,-0.00615021806933394,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-12,-0.001703828685304526,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-13,-0.023886475232467008,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-14,-0.016759442489922505,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-15,-0.014452409747378048,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-16,-0.017310237714038362,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-17,-0.04161228200349662,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-18,-0.03969347828400799,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-19,-0.07359944956688558,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-20,-0.026866562115030634,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-21,-0.00922952937248614,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-22,-0.004642496629941734,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-23,-0.0006305730299152601,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-24,0.06875635907562494,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-25,0.061742843139704406,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-26,0.058044488317689796,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-27,0.07054438418657002,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-28,0.06863141692911456,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-29,0.06868844967165905,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-06-30,0.06314012166814492,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-01,0.06619440214161756,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-02,0.05639084906095751,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-03,0.04780696227896458,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-04,0.04022623939751169,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-05,0.040273272140056215,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-06,0.04071030488260072,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-07,0.0087753398377938,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-08,-0.006211764637624684,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-09,-0.010389327237826818,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-10,-0.008389971407593289,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-11,0.03629211526790452,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
2025-07-12,0.037559148010448934,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-24
