date,residual,phase,metodo,evento,carburante,break_date
2025-05-08,-0.010639082611458128,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-09,-0.012286476911213179,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-10,-0.013183871210968173,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-11,-0.0201627346252492,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-12,-0.02165592461683613,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-13,-0.005203318916591176,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-14,0.0034399591187968537,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-15,0.007800656196709332,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-16,0.0041732618969543,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-17,0.003855867597199303,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-18,0.005362362606183169,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-19,0.004056296283436539,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-20,0.005204300565916448,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-21,0.007729608654639786,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-22,0.010040309098963168,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-23,0.00964291479920823,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-24,0.009155520499453118,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-25,0.010269242770885895,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-26,0.010351848471130881,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-27,0.010759911523890386,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-28,0.008348220004239348,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-29,0.011311751507015105,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-30,0.010554357207260112,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-31,0.009666962907505072,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-01,0.003066416900966956,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-17
