date,residual,phase,metodo,evento,carburante,break_date
2025-05-10,-0.0011542761773678523,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-11,-0.0008340666524773721,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-12,0.0012934692307796092,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-13,-0.03770677634471639,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-14,-0.03368970570319005,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-15,-0.02455773111595566,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-16,-0.01142770517923114,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-17,-0.0068874956543405474,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-18,-0.005177286129450093,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-19,-0.0027563159841762774,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-20,0.004572961067504405,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-21,0.0076510089396942815,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-22,0.012761297804146532,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-23,0.008046588432822854,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-24,0.008316797957713312,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-25,0.009047007482603814,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-26,0.013983880599044818,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-27,0.017359817094912355,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-28,0.007148595203304131,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-29,0.009528383237336402,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-30,0.02241107857672095,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-31,0.022311288101611454,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-01,0.022661497626501992,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-02,0.01237246454612273,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-03,0.0069048938471829024,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-04,0.016880127171848808,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-05,0.012886100052805577,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-06,0.004747665836544318,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-07,0.005647875361434795,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-08,0.0064480848863252005,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-09,-0.0028179336041008196,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-19
