date,residual,phase,metodo,evento,carburante,break_date
2022-01-24,-0.0012996882758491979,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-25,-0.00039160077584451947,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-26,0.0019394084506373366,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-27,0.002247120144427517,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-28,0.007840016229821195,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-29,0.015862912315214917,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-30,-0.017935680927048392,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-31,-0.020769189112813086,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-01,-0.01665970602815567,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-02,-0.017255468417738284,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-03,-0.020990375832354302,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-04,-0.018377479746960607,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-05,-0.013284583661566984,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-06,-0.004830836122497406,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-07,0.0006645387238684297,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-08,-0.001228758081174619,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-09,0.0008278868326689892,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-10,-0.006709363658652739,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-11,-0.003906467573259104,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-12,-0.0008435714878653466,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-13,-0.005380508514641086,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-14,0.005823978357300447,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-15,0.005631405275947632,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-16,0.017815721273883867,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-17,0.023689149704514495,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-18,0.027312045789908146,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-19,0.03015494187530182,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-20,0.026878398963664424,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-21,0.025311295049058158,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-22,0.026026998182572036,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-23,0.029948004926529687,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-24,0.03252953676192491,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-25,0.03894243284731852,pre,v1_naive,Ucraina (Feb 2022),benzina,2022-03-05
