date,residual,phase,metodo,evento,carburante,break_date
2026-01-23,0.015405576861874715,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-24,0.004809559465614732,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-25,0.004752564310012669,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-26,0.0042610384899148535,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-27,0.004736447024409229,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-28,-0.0012148862156537432,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-29,-0.007081659705377635,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-30,-0.015750632827048583,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-01-31,0.010708980395928852,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-01,-0.007791889038843924,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-02,0.023991494141958586,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-03,5.0251331358552864e-05,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-04,-0.00467942270660851,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-05,0.018465689525091256,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-06,-0.0071663314250440535,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-07,0.0014286800207648775,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-08,0.013577418201265457,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-09,-0.003427998326837267,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-10,0.012865835684196636,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-11,-0.002566050870771275,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-12,0.002869400322478538,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-13,0.029656223092526413,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-14,-0.005865886390538977,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-15,0.005478668769075989,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-16,0.01783392061652736,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-17,0.00352339056628026,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-18,-0.01376097714980623,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-19,-0.0029776719877356583,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-20,0.008467741371219029,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-21,-0.005419439141735788,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-22,-0.0023052283014280694,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-23,-0.002134134456431347,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-24,0.010894420490192486,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-25,-0.0014602686051761182,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-26,-0.013801679260711408,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-27,0.012724479957843815,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-02-28,0.0015912865274543553,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-01,-0.009365206534544757,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-02,-0.09119936358595418,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-03,-0.0044782538012305695,pre,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-04,0.06503407906150695,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-05,-0.02557995360124965,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-06,-0.030735357060149127,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-07,-0.0016290186337185875,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-08,0.007924998158965801,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-09,-0.10014971519912741,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-10,0.03881553778079885,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-11,0.01597353933386564,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-12,0.014062397654033526,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-13,-0.001490167609896842,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-14,0.016952297703224484,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-15,0.022359628950506916,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-16,-0.031635477649306826,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-17,-0.013401452352499205,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-18,-0.06242607385722801,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-19,-0.09996567954969465,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-20,-0.04652609965920654,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-21,-0.0582161049286786,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-22,-0.04703610679510198,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-23,0.003174356571093856,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-24,0.036671766830153135,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-25,0.1343145837621492,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-26,0.02237004248372057,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-27,-0.003503438483069249,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-28,0.0037565615132455488,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-29,0.0066665615119402,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-30,-0.015736750974870428,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
2026-03-31,0.01848357815246565,post,v3_arima,Hormuz (Feb 2026),gasolio,2026-03-04
