date,residual,phase,metodo,evento,carburante,break_date
2025-05-08,-0.010298537136970237,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-09,-0.0027489075590548806,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-10,-0.002117098299701664,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-11,-0.008497096145331562,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-12,-0.001682043209986439,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-13,0.013151476334109347,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-14,0.0023665094046460555,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-15,0.004298366418541366,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-16,-0.0036297239479109455,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-17,0.0023056059380566207,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-18,0.0016019546412490426,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-19,-0.0006052205094588259,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-20,0.002534243416266374,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-21,0.0028394564481412643,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-22,0.003007072310530129,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-23,0.0006968734477307559,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-24,0.001512694443051299,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-25,0.00269450276545688,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-26,0.0014034616263609578,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-27,0.002302118053732538,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-28,-0.0007968380149717402,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-29,0.005421024887603265,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-30,-0.0003053233109529263,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-31,0.0018291625116631516,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-01,-0.004932937374769825,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-02,-0.0009494904970704654,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-03,-0.0003762393866427183,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-04,0.0026687657274773735,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-05,-0.0007200127835354231,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-06,0.00026941377749450934,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-07,0.00012821537110196957,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-08,0.00022409961714431326,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-09,-0.0020230483585459424,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-10,-0.008822014515557197,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-11,0.005889311426052174,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-12,-0.0029299577838709234,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-13,0.001861711420215767,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-14,0.004679441823006114,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-15,-0.0031176962240585804,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-16,-0.005616356646852838,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-17,-0.0062894557429283016,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-18,-0.006779879799350325,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-19,0.0005727259008946328,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-20,0.010525331601139665,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-21,0.018577937301384545,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-22,0.02715950273923015,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-23,0.021062108439475147,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-24,0.03443662703100689,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-25,0.03541071268947213,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-17
