date,residual,phase,metodo,evento,carburante,break_date
2025-05-10,0.02248938114063817,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-11,0.0015409510761982825,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-12,0.0032874621026775797,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-13,-0.03772666936683158,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-14,0.001434138618486902,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-15,0.006845093638258581,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-16,0.011632949365033257,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-17,0.004218878314168284,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-18,0.001735429173652242,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-19,0.002519554321391504,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-20,0.007569837093282794,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-21,0.003934393800732322,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-22,0.006172039864888734,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-23,-0.003251376457057975,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-24,0.0011866949426686257,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-25,0.0015810529971396203,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-26,0.005766479488666071,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-27,0.004590384565620581,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-28,-0.008762612884065324,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-29,0.002750958698828798,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-30,0.013391866466867158,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-31,0.0015612506286387384,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-01,0.001909891742160219,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-02,-0.008787270226811666,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-03,-0.005050757479022838,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-04,0.009772523633009678,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-05,-0.0033255307509011955,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-06,-0.007947216248800987,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-07,0.00021408005501366567,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-08,0.00010925344137172055,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-09,-0.00997145441487024,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-10,-0.005652555647618407,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-11,0.005443761208781872,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-12,0.0031566857509896518,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-13,-0.02311234690738076,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-14,0.003986774293257583,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-15,-0.00021445383785873018,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-16,-0.005225828233253016,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-17,-0.02701513398538541,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-18,-0.0032094343466160247,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-19,-0.03891819966514859,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-20,0.0032170844018167277,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-21,0.01663111406348089,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-22,0.017333583010402803,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-23,0.017766711786641493,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-24,0.08385110146641439,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-25,0.07378462823088958,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-26,0.06725880821593891,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-27,0.07713496373298784,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-28,0.07278231494286072,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-29,0.07056595735574403,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-30,0.06289447775779985,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-01,0.06396134248549365,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-02,0.05229300661773012,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-03,0.04195513196908354,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-04,0.03272052085593696,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-05,0.03120410215647501,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-06,0.030159390177843637,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-07,-0.003183500202776357,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-08,-0.019511836581693587,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-09,-0.024970375721684784,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-10,-0.024197557654740076,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-11,0.01930717493514314,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-12,0.019441289457554772,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-13,0.019275550350357884,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-14,0.025792679443654737,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-15,0.024622190868901384,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-16,0.030500456526191794,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-17,0.015347890295347777,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-18,0.0032003590923548597,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-19,0.004026014917800552,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-20,0.003931396550857003,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-21,0.000953340692303295,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-22,0.015005933923506937,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-19
