date,residual,phase,metodo,evento,carburante,break_date
2022-01-24,0.023304378746191623,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-25,0.0024516845126658915,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-26,0.004728238688162356,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-27,0.004399790335949477,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-28,0.01054690745260839,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-29,0.013652165174423025,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-30,-0.029643478724611733,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-31,-0.004836700380940556,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-01,0.01582178661900771,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-02,0.009613626898669514,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-03,-0.004629504192858902,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-04,-0.004249536476606419,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-05,0.0005636566210078242,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-06,0.005998906524476072,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-07,0.0033066680690614636,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-08,-0.005647549022098186,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-09,-0.0017295365797959095,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-10,-0.00709068899231069,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-11,0.003509639813873755,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-12,0.006299365868272344,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-13,-0.004236418304006423,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-14,0.0073782183733085704,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-15,-0.0011175904781623724,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-16,0.008137811583261684,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-17,0.00482250103609419,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-18,0.0014244762242041353,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-19,0.0018959612200143694,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-20,-0.0013494894976626148,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-21,0.001813285683107041,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-22,0.0061856618221341475,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-23,0.009219676154375411,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-24,0.005934928798004446,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-25,0.00714445367212424,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-26,0.01038274868733885,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-27,-0.02530252723750412,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-28,-0.029972316152614392,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-01,-0.03404397026678019,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-02,0.02007590662684977,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-03,-0.032686867580078854,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-04,0.007752066280328596,pre,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-05,0.03215061174284099,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-06,-0.004469999757665252,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-07,-0.06735989461672634,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-08,0.009807959703487107,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-09,0.07951441495379072,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-10,0.11022483631962499,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-11,0.1287619207947548,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-12,0.1431133539626922,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-13,0.1700290883482685,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-14,0.16416907729898303,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-17,0.15793071308417628,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-18,0.18051129875479321,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-19,0.15174149020172437,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-20,0.13807688861322567,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-21,0.13731790332395014,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-22,0.11385529799246,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-23,0.20289716148971443,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-24,0.13589661566327005,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-25,0.13247834927747076,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-26,0.13009777882505347,post,v3_arima,Ucraina (Feb 2022),benzina,2022-03-05
