metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,sw_stat,sw_p,lb_stat,lb_p,diag_n_lags,sarima_bench_gain_meur,sarima_bench_rmse,sarima_bench_aic,approccio,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,best_approach,is_best,transfer_fn,note,sarima_sw_stat,sarima_sw_p,sarima_lb_stat,sarima_lb_p
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-05,40,40,40,29,"(2, 0, 2)",0.8538,0.0001,3.041,0.9804,10,339.2,0.47182,-156.14,A,0.11812,3.4256,91.2,44.9,137.5,,-220.14,-210.01,0.13099,41.307,A,True,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-05,40,40,40,29,"(2, 0, 2)",0.8538,0.0001,3.041,0.9804,10,339.2,0.47182,-156.14,B,0.24518,7.1102,189.5,110.0,268.9,,-333.12,-326.36,0.25886,79.74,A,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-05,40,40,40,29,"(2, 0, 2)",0.8538,0.0001,3.041,0.9804,10,339.2,0.47182,-156.14,C,0.16059,4.657,124.1,82.8,165.3,,-172.64,-169.26,0.17731,55.725,A,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-05,40,40,40,29,"(2, 0, 2)",0.8538,0.0001,3.041,0.9804,10,339.2,0.47182,-156.14,S,0.43817,12.7071,339.2,179.2,499.3,,-156.14,-153.34,0.47182,143.508,A,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.601,0.0,11.983,0.2862
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,40,40,40,29,"(0, 1, 2)",0.6906,0.0,0.653,1.0,10,1477.2,0.73296,-125.62,A,0.28347,8.2206,646.6,173.4,1119.8,,-194.04,-189.05,0.32627,172.547,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,40,40,40,29,"(0, 1, 2)",0.6906,0.0,0.653,1.0,10,1477.2,0.73296,-125.62,B,0.76941,22.3127,1753.0,1439.9,2066.1,,-309.14,-302.39,0.85831,478.178,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,40,40,40,29,"(0, 1, 2)",0.6906,0.0,0.653,1.0,10,1477.2,0.73296,-125.62,C,0.13086,3.7949,298.2,99.5,497.0,,-133.61,-130.23,0.21148,181.964,C,True,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,40,40,40,29,"(0, 1, 2)",0.6906,0.0,0.653,1.0,10,1477.2,0.73296,-125.62,S,0.64842,18.8041,1477.2,794.2,2160.3,,-125.62,-122.82,0.73296,379.199,C,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=detected",0.7787,0.0,8.776,0.5535
v3_arima,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,40,40,40,36,"(1, 0, 1)",0.9494,0.0722,2.847,0.9848,10,70.0,0.05547,-232.9,A,0.0297,1.0692,39.0,16.5,61.4,,-319.42,-312.66,0.03187,11.162,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
v3_arima,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,40,40,40,36,"(1, 0, 1)",0.9494,0.0722,2.847,0.9848,10,70.0,0.05547,-232.9,B,0.03287,1.1832,43.2,-3.3,89.6,,-427.63,-420.87,0.03517,12.356,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=detected, break=glm_poisson_02c",,,,
