date,residual,phase,metodo,evento,carburante,break_date
2025-05-08,0.22274950485310036,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-09,-0.0015600000000000058,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-10,0.0007499999999702467,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-11,-0.005707119729975368,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-12,0.0016919261511608996,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-13,0.01920961713274455,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-14,0.007478744296586293,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-15,0.0019103423564121869,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-16,-0.006362838477956212,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-17,-0.002209880956914184,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-18,-0.0001214893318421395,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-19,-0.002920726496556114,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-20,-0.00016978398828232377,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-21,0.0012236721508094295,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-22,0.000899234394975551,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-23,-0.0018855513273106361,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-24,-0.0018218268739627619,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-25,-7.797194222206039e-05,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-26,-0.0011031896007736297,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-27,-0.0006968470312438413,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-28,-0.003466899978610577,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-29,0.0021496102565262687,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-30,-0.0017177047223290165,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-31,-0.0017329626554128397,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-01,-0.007332316290681623,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-02,-0.00443203930204536,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-03,-0.0011121474725125091,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-04,0.0024476740358449767,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-05,-0.00029623069116002654,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-06,-0.0006764036933364359,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-07,-0.0002549602430367004,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-08,-0.00016945488189276658,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-09,-0.0023467432763868146,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-10,-0.009498296552872293,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-17
