date,residual,phase,metodo,evento,carburante,break_date
2025-05-10,0.23105163622699615,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-11,-0.0006299999984447635,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-12,0.0018073263567432163,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-13,-0.04016786811432285,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-14,0.014170139563095874,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-15,0.018298725388465747,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-16,0.019045924454493685,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-17,0.007500028449681451,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-18,0.003019877327194498,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-19,0.0031189573616151323,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-20,0.007705854552227026,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-21,0.002998211105006726,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-22,0.004490438642681338,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-23,-0.005598351948516739,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-24,-0.0008217110808993455,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-25,-1.2087555953138596e-05,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-26,0.00424545969646814,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-27,0.0026967437685209983,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-28,-0.011138574024936149,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-29,0.001176016806064939,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-30,0.012394974341644271,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-31,-0.00047429590610012506,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-01,-0.0008175634824381106,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-02,-0.011442715008432663,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-03,-0.006815570959290307,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-04,0.009198045143138323,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-05,-0.0041067396767039965,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-06,-0.00894808044705414,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-07,0.00010526175151107098,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-08,0.0005825598171321777,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-09,-0.009472831855457747,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-10,-0.004501761659947895,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-11,0.007533286508068171,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-12,0.005144288733741564,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-13,-0.021795238929104066,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-14,0.006419485561577926,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-15,0.003238331011711948,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-16,-0.0022237194144898442,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-17,-0.02396035116633144,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-18,0.0014978699233165471,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-19,-0.03271553077015524,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-20,0.015110602553200236,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-21,0.03384088116724529,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-22,0.03952115978129023,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-23,0.04462632925281726,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-24,0.11510650722985799,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-25,0.10918623716543799,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-26,0.10658112821492394,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-27,0.1201742699553047,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-28,0.1193545485693498,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-29,0.12050482718339481,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-30,0.11604974505138121,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-01,0.12019727139635442,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-02,0.11148696418719489,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-03,0.10399632327670252,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-04,0.09750884626675016,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-05,0.09864912488079522,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-06,0.10017940349484028,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-07,0.0693376843215339,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-08,0.05544382571761597,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-09,0.052359508988914366,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-10,0.05545211069064844,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-11,0.10122744323764682,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-12,0.10358772185169178,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-13,0.10560800046573685,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-14,0.11427487633026424,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-15,0.11522136489397261,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-16,0.1231870013840871,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-17,0.11009505764440305,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-18,0.09998398266912141,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-19,0.10282426128316641,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-20,0.10472453989721146,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-21,0.10372355938907787,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-22,0.1197371267026376,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-23,0.12611183996615172,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-24,0.1314200532836689,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-25,0.12511920079891756,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-26,0.1254594794129626,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-27,0.12676975802700757,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-28,0.13376415231763755,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-29,0.1265760916040534,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-19
