date,residual,phase,metodo,evento,carburante,break_date
2022-01-24,0.19716329277021427,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-25,-0.0003448085803402223,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-26,0.0014229217213575507,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-27,-0.0012340528178704235,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-28,0.00426984843982256,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-29,0.006129172441563274,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-30,-0.03681898268901196,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-31,-0.003327164829771051,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-01,0.007983818389283498,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-02,0.00317265123715213,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-03,-0.0010663261859761575,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-04,0.004964755728946307,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-05,0.007330689385558864,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-06,0.009765294326304907,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-07,0.005497433464681817,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-08,-0.0032919875942004073,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-09,0.00015288735817314825,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-10,-0.009057823500955409,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-11,0.0016604137838004684,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-12,0.002921486335230178,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-13,-0.005002313311749357,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-14,0.0106102089619039,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-15,-0.0006545888178609571,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-16,0.010492763081501516,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-17,0.0038042271965262053,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-18,0.0001445907328301299,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-19,-0.0010927388414565253,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-20,-0.007181934280171914,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-21,-0.005031500999380101,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-22,-0.001678962854650523,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-23,0.0021957256644772882,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-24,0.0009601221232899415,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-25,0.004489509733909464,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-26,0.007111007611107001,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-27,-0.030273020570662834,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-28,-0.030577932659864387,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-01,-0.039175999329537026,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-02,0.01748783645274278,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-03,-0.03434007908239864,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-04,0.03456163680880316,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-05,0.05738480797164522,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-06,0.055965654757293926,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-07,0.03158905875959297,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-08,0.14523208102999274,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-09,0.2454725081833164,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-10,0.29867454320251563,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-11,0.33134136191091257,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-12,0.3526081806193098,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-13,0.3813441417444328,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-14,0.37474421222311327,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-15,0.38541103093151036,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-16,0.3960778496399075,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-17,0.38897959975497454,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-18,0.41253641846337175,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-19,0.38782323717176886,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-20,0.38176671910227544,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-21,0.39194595807202803,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-22,0.3820181659689512,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-23,0.48617438905226545,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-24,0.4347961963300786,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-25,0.4465730150384757,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-26,0.4582898337468728,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-27,0.4727373780494268,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-28,0.47953922959250916,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-29,0.49036582858372957,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-30,0.5111522595785957,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-03-31,0.5216203081998423,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-01,0.5256471269082393,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-02,0.5281039456166365,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-03,0.5204352209461308,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-04,0.5436508759024776,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-05,0.5705780172628242,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-06,0.573772931005297,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-07,0.5670595053057674,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-08,0.5734363240141644,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-09,0.5779831427225616,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-10,0.6016931665303522,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-11,0.5950501762158673,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-12,0.5899032165620526,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-13,0.5832867445316364,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
2022-04-14,0.5930835632400335,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-03-05
