date,residual,phase,metodo,evento,carburante,break_date
2025-05-08,-0.014924699990522677,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-09,-0.016387526168909733,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-10,-0.017100352347296732,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-11,-0.023894647640209765,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-12,-0.0252032695104287,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-13,-0.00856609568881575,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-14,0.00026175046794030266,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-15,0.004807015667220749,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-16,0.0013641894888337391,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-17,0.001231363310446737,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-18,0.002922426440798598,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-19,0.0018009282394199633,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-20,0.003133500643267867,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-21,0.0058433768533592,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-22,0.008338645419050605,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-23,0.008125819240663634,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-24,0.007822993062276545,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-25,0.009121283455077317,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-26,0.009388457276690299,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-27,0.009981088450817799,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-28,0.007753965052534756,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-29,0.010902064676678508,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-30,0.010329238498291538,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-31,0.009626412319904465,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-01,0.0032104344347343716,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-02,-0.0007794842631812238,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-03,-0.001732310441568241,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-04,0.000804566156865083,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-05,0.000750214988942316,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-06,0.0002973888105552158,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-07,0.0002245626321681904,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-17
