date,residual,phase,metodo,evento,carburante,break_date
2025-05-10,-0.008124869315489919,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-11,-0.007766677105254943,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-12,-0.005601158536653439,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-13,-0.04456342142680492,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-14,-0.04050836809993405,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-15,-0.03133841082735514,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-16,-0.018170402205286096,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-17,-0.013592209995051008,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-18,-0.01184401778481603,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-19,-0.009385064954197692,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-20,-0.0020178052171725136,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-21,0.0010982253403619135,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-22,0.006246496890158659,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-23,0.0015697702041795047,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-24,0.0018779624144144857,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-25,0.0026461546246495105,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-26,0.0076210104264350376,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-27,0.011034929607647098,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-28,0.0008616904013833693,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-29,0.003279461120760163,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-30,0.016200139145489234,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-19
