date,residual,phase,metodo,evento,carburante,break_date
2025-05-08,-0.004498444739680807,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-09,-0.006259981375025203,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-10,-0.007271518010369571,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-11,-0.014364523760239944,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-12,-0.015971856087416247,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-13,0.0003666072772393614,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-14,0.008895742977038046,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-15,0.013142297719361151,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-16,0.009400761084016801,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-17,0.008969224448672458,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-18,0.01036157712206695,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-19,0.008941368463730975,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-20,0.00997523041062151,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-21,0.012386396163755503,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-22,0.01458295427248954,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-23,0.014071417637145228,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-24,0.01346988100180077,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-25,0.01446946093764423,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-26,0.014437924302299843,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-27,0.014731845019470002,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-28,0.012206011164229591,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-29,0.015055400331416002,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-30,0.014183863696071664,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-05-31,0.01318232706072725,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-01,0.0064676387185997886,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
2025-06-02,0.0021790095637268525,pre,v8_pymc,Iran-Israele (Giu 2025),benzina,2025-06-17
