date,residual,phase,metodo,evento,carburante,break_date
2025-05-10,-0.010580279502849066,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-11,-0.010075649880838256,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-12,-0.0077636939004608885,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-13,-0.04657951937883653,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-14,-0.04237802864018983,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-15,-0.03306163395583506,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-16,-0.019747187921990178,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-17,-0.015022558299979227,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-18,-0.013127928677968387,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-19,-0.010522538435574214,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-20,-0.003008841286773173,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-21,0.0002536266825370892,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-22,0.005548335644109698,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-23,0.001018046369906378,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-24,0.0014726759919172216,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-25,0.0023873056139280813,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-26,0.007508598827489443,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-27,0.011068955420477367,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-28,0.0010421536259894726,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-29,0.0036063617571421014,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-30,0.016673477193647035,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-05-31,0.016758106815657897,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-01,0.01729273643766882,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-02,0.007188123454409917,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-03,0.0019049728525904475,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-04,0.012064626274376739,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-05,0.008255019252453866,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-06,0.00030100513331296486,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-07,0.001385634755323828,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-08,0.002370264377334591,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-09,-0.006711334015971071,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-10,-0.010487837931887706,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-11,-0.0026939421087829873,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-12,0.0021700441547127802,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-13,-0.019595005512983293,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-14,-0.012050375890972409,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-15,-0.009325746268961571,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-16,-0.011765977356155477,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-17,-0.035650424766147354,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-18,-0.03331402416719231,pre,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-19,-0.06680239857060352,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-20,-0.019651914239282198,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-21,-0.001597284617271294,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-22,0.0034073450047394926,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-23,0.007836865484232375,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-24,0.07764139446923896,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-25,0.0710454754127848,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-26,0.0677647174702366,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-27,0.08068221021858318,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-28,0.07918683984059413,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-29,0.079661469462605,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-06-30,0.07453073833855725,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-01,0.0780026156914963,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-02,0.06861665949030263,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-03,0.06045036958777611,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-04,0.053287243585789595,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-05,0.053751873207800505,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-06,0.054606502829811415,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-07,0.02308913466447088,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-08,0.008519627068518804,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-09,0.004759661347783051,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-10,0.007176614057482961,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-11,0.052276297612447176,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-12,0.053960927234457945,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-13,0.055305556856468874,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-14,0.06329678372896208,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-15,0.06356762330063628,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-16,0.07085761079871661,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-17,0.0570900180669984,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-18,0.04630329409968259,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-19,0.04846792372169342,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-20,0.049692553343704315,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-21,0.04801592384353656,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
2025-07-22,0.06335384216506212,post,v8_pymc,Iran-Israele (Giu 2025),gasolio,2025-06-19
