date,residual,phase,metodo,evento,carburante,break_date
2022-01-24,0.002454136372079113,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-25,0.002151036892459851,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-26,0.003270859139317739,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-27,0.002367383853483951,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-28,0.006749092959253689,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-29,0.01356080206502347,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-30,-0.021448978156863835,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-01-31,-0.02549367332225247,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-01,-0.02259537721721902,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-02,-0.024402326586425577,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-03,-0.029348420980665563,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-04,-0.027946711874895835,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-05,-0.024065002769126154,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-06,-0.016822442209680544,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-07,-0.012538254342938648,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-08,-0.015642738127605665,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-09,-0.014797280193386025,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-10,-0.023545717664331695,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-11,-0.021954008558562027,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-12,-0.02010229945279221,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-13,-0.025850423459191918,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-14,-0.015857123566874354,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-15,-0.01726088362785111,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-16,-0.006287754609538843,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-17,-0.0016255131585321547,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-18,0.000786195947237528,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-19,0.0024179050530072355,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-20,-0.002069824838254103,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-21,-0.004848115732484309,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-22,-0.005343599578594427,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-23,-0.002633779814260717,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
2022-02-24,-0.0012634349584894622,pre,v8_pymc,Ucraina (Feb 2022),benzina,2022-03-05
