date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.010400992678768373,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-05,0.0035050776066870015,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-06,0.000891346903927781,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-07,-0.0040448797365442435,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-08,-0.010700264859228287,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-09,-0.012393995561987503,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-10,-0.013337726264746663,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-11,-0.020362926082031857,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-12,-0.021902452476622952,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-13,-0.005496183179382164,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-14,0.0031007584530017285,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-15,0.007415119127910014,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-16,0.0037413884251508434,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-17,0.0033776577223916804,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-18,0.00483781632837138,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-19,0.003485413602620613,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-20,0.004587081482096328,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-21,0.007066053167815528,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-22,0.009330417209134745,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-23,0.00888668650637564,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-24,0.008352955803616363,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-25,0.009420341672045002,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-26,0.009456610969285795,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-27,0.009818337619041162,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-28,0.0073603096963859305,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-29,0.01027750479615755,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-30,0.00947377409339839,pre,v1_naive,Iran-Israele (Giu 2025),benzina,2025-06-13
