date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.016011129758251474,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-05,0.02701854069476156,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-06,0.007986308437725409,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-07,0.01796171544902797,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-08,0.007094261780805355,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-09,-0.0024359471329643,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-10,-0.0031916365250863055,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-11,-0.00306732591720843,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-12,-0.0011356889509640533,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-13,-0.04033183344347263,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-14,-0.03651066171895889,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-15,-0.027574586048737082,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-16,-0.014640459029025166,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-17,-0.010296148421147178,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-18,-0.0087818378132693,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-19,-0.006556766585008089,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-20,0.0005766115496599888,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-21,0.0034587605048372883,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-22,0.008373150452276934,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-23,0.0034625421639406517,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-24,0.0035368527718185327,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-25,0.00407116337969643,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-26,0.008812137579124857,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-27,0.01199217515797979,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-28,0.0015850543493589608,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-29,0.003768943466378627,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-30,0.016455739888750598,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-31,0.016160050496628497,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-01,0.01631436110450646,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-02,0.005829429107114564,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-03,0.00016595949116213204,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-04,0.00994529389881546,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-05,0.005755367862759625,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-06,-0.0025789652705142385,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-07,-0.001874654662636338,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-08,-0.0012703440547585376,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-09,-0.010732261462197162,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-10,-0.01488908439224676,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-11,-0.007475507583275004,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-12,-0.0029918403339121713,pre,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-13,-0.025137209015741208,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-14,-0.017972898407863286,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-15,-0.01562858779998541,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-16,-0.01844913790131228,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-17,-0.04271390432543712,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-18,-0.04075782274061504,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-19,-0.07462651615815921,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-20,-0.02785635084097085,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-21,-0.01018204023309291,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-22,-0.005557729625215085,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-23,-0.0015085281598551659,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-24,0.06791568181101845,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-25,0.06093944374043131,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-26,0.057278366783750145,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-27,0.06981554051796379,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-28,0.06793985112584178,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-29,0.06803416173371968,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-30,0.06252311159553897,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-01,0.06561466993434506,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-02,0.055848394719018424,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-03,0.04730178580235894,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-04,0.039758340786239466,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-05,0.03984265139411741,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-06,0.04031696200199536,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-07,0.00841927482252186,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-08,-0.006530551787563177,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-09,-0.010670836522431892,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-10,-0.008634202826864945,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-11,0.03608516171396631,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-12,0.03738947232184414,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-13,0.03835378292972208,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-14,0.04596469078808235,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-15,0.04585521134562359,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-16,0.052764879829570954,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-17,0.03861696808371978,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-18,0.02744992510227101,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-19,0.02923423571014888,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-20,0.03007854631802681,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-21,0.028021597803726095,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-22,0.042979197111118694,post,v1_naive,Iran-Israele (Giu 2025),gasolio,2025-06-13
