date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.0061318617172955725,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-05,-0.006054734996426087,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-06,0.00035441060252774936,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-07,-0.0039042228768302323,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-08,-0.004965982307698041,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-09,-0.0006835785244307946,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-10,-0.0021075961039015156,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-11,-0.008622470864989074,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-12,-0.0026884667854585043,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-13,0.012277342311808465,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-14,0.0008837396390578289,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-15,0.0008570140620800804,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-16,-0.006339825758381101,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-17,-0.0009296101900250764,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-18,-0.0005436292901116468,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-19,-0.003076716950923042,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-20,0.00020519550372635753,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-21,0.0009414072564207232,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-22,0.0010977451909293667,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-23,-0.0009718430540843204,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-24,-4.782378362541695e-05,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-25,0.0016248741261709054,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-26,0.000646711231863023,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-27,0.0017103095734624651,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-28,-0.0009360604582913934,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-29,0.005297411178676825,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-30,0.00048536648562672036,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-31,0.002134768301063822,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-01,-0.0037977040480099145,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-02,-0.000287225784830758,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-03,0.0010451173351181675,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-04,0.003754003225644481,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-05,0.0004867873530753908,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-06,0.0009164625847718766,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-07,0.0009507432457929732,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-08,0.0008303961224206124,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-09,-0.001494138596081912,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-10,-0.008627078486288603,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-11,0.005378373983115414,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-12,-0.0023737601495270044,pre,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-13,-0.008761027927212506,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-14,-0.0027447586299716997,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-15,-0.004547235633085317,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-16,-0.011784124610942831,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-17,-0.00820409411086473,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-18,-0.008740854570290946,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-19,-0.0014345852730501263,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-20,0.00847168402419074,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-21,0.016477953321431482,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-22,0.025013182356272895,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-23,0.018869451653513752,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-24,0.03219763384204136,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-25,0.0331253830975024,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-26,0.03545613781264256,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-27,0.03391240710988336,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-28,0.03129867640712411,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-29,0.05277182395974081,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-30,0.043659765411599855,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-01,0.040776034708840614,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-02,0.033976729057998645,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-03,0.024110474933894843,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-04,0.021786744231135635,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-05,0.02042301352837647,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-06,0.019899282825617287,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-07,0.01739834056098491,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-08,0.01645460985822572,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-09,0.020931000178651682,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-10,0.01688345243642836,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-11,0.017259721733669187,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-12,0.01670599103091,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-13,0.017431032646087447,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-14,0.018280898209568436,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-15,0.019496027491005208,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-16,0.013843856426152878,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-17,0.015472509229260578,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-18,0.014238778526501378,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-19,0.014005047823742206,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-20,0.01501044761402695,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-21,0.015126716911267712,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-07-22,0.0181028837493013,post,v3_arima,Iran-Israele (Giu 2025),benzina,2025-06-13
