date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.02932675151059133,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-05,0.014813772381115753,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-06,-0.01363138708302003,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-07,0.012299200401158755,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-08,-0.007109665904827728,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-09,-0.007579749026952631,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-10,-0.0004045993072641363,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-11,0.0002405770438647925,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-12,0.0019499306215764733,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-13,-0.0389947620481807,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-14,-0.002190234997204582,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-15,0.0034016037286286605,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-16,0.008672020592121965,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-17,0.001976316056053473,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-18,-0.0002953946065646085,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-19,0.0005335554000054643,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-20,0.0056705837471369425,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-21,0.002411378351113297,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-22,0.004774524485707116,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-23,-0.004403530034765013,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-24,-0.0002995759900523698,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-25,5.467561178054692e-05,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-26,0.004227126486277044,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-27,0.003286165290464521,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-28,-0.009923762594700236,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-29,0.0009315068992544195,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-30,0.011656731318424068,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-31,0.0005298944172154041,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-01,0.0008166064494574965,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-02,-0.009915943565959734,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-03,-0.006842322217047364,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-04,0.007602437720590188,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-05,-0.004963320060992538,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-06,-0.009876617018879597,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-07,-0.0022513696264601923,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-08,-0.0023591452439725435,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-09,-0.012448700111825861,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-10,-0.008732355263744607,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-11,0.0020743025564231854,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-12,0.0001799911346580807,pre,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-13,-0.025869083780312052,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-14,-0.02196670919975305,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-15,-0.022494367896680967,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-16,-0.027857565221836134,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-17,-0.05438687043961238,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-18,-0.05446046851386477,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-19,-0.09016050595190123,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-20,-0.04505419265791635,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-21,-0.028902289150098792,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-22,-0.025680937151566607,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-23,-0.022933821520361886,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-24,0.045273488429201286,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-25,0.03715228870418538,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-26,0.03240700115545053,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-27,0.04391126781949567,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-28,0.04104599654782609,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-29,0.040187312864559066,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-30,0.033754166201773766,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-01,0.03594972079822356,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-02,0.025309476872897058,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-03,0.015907507558924616,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-04,0.0075244166357390785,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-05,0.006782352029486627,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-06,0.006441494359522015,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-07,-0.026261896978507338,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-08,-0.04200943541529484,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-09,-0.04694068255132308,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-10,-0.0456893114504017,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-11,-0.001750396088009032,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-12,-0.0012224697880298119,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-13,-0.0010311107550816379,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-14,0.005809744428945968,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-15,0.00493266039790663,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-16,0.011076791671456615,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-17,-0.00383491140944886,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-18,-0.015764271355786702,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-19,-0.014741032625402162,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-20,-0.014656742434089043,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-21,-0.017472823419186212,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-22,-0.003273606723355027,post,v3_arima,Iran-Israele (Giu 2025),gasolio,2025-06-13
