metodo,mode,break_method,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,arima_order,sw_stat,sw_p,lb_stat,lb_p,diag_n_lags,sarima_bench_gain_meur,sarima_bench_rmse,sarima_bench_aic,approccio,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,omega,aic,bic,rmse,mape_pct,best_approach,is_best,transfer_fn,note,sarima_sw_stat,sarima_sw_p,sarima_lb_stat,sarima_lb_p
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,54.7,0.10267,-177.09,A,0.06954,2.6426,70.5,47.9,93.0,,-279.46,-274.39,0.11473,45.395,B,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,54.7,0.10267,-177.09,B,0.06593,2.5054,66.8,7.7,125.9,,-388.56,-381.8,0.11228,45.301,B,True,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,54.7,0.10267,-177.09,C,0.08246,3.1334,83.5,60.6,106.4,,-241.07,-237.7,0.12425,46.703,B,False,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.8088,0.0,1.132,0.9997,10,54.7,0.10267,-177.09,S,0.05394,2.0498,54.7,-145.0,254.4,,-177.09,-174.28,0.10267,43.336,B,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=fixed",0.4883,0.0,12.084,0.2795
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9518,0.0877,12.07,0.2804,10,-48.1,0.14771,-174.1,A,0.03851,1.4634,114.8,30.3,199.3,,-252.14,-247.07,0.16097,1001.431,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9518,0.0877,12.07,0.2804,10,-48.1,0.14771,-174.1,B,0.02188,0.8316,65.1,-180.7,310.8,,-361.24,-354.48,0.15589,1083.36,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9518,0.0877,12.07,0.2804,10,-48.1,0.14771,-174.1,C,0.01745,0.6631,51.9,-24.5,128.2,,-231.82,-228.44,0.15347,1085.606,C,True,C: OLS trend lineare (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,40,40,40,38,"(1, 0, 0)",0.9518,0.0877,12.07,0.2804,10,-48.1,0.14771,-174.1,S,-0.01602,-0.6086,-48.1,-558.6,462.4,,-174.1,-171.29,0.14771,1282.656,C,False,"SARIMA(0,1,1)(0,1,0)_7","SARIMA(0,1,1)(0,1,0)_12 benchmark, mode=fixed",0.6255,0.0,11.851,0.2952
v3_arima,fixed,fixed_at_shock,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,40,40,40,40,"(2, 0, 2)",0.9336,0.0211,5.972,0.8176,10,80.8,0.05993,-229.4,A,0.02121,0.8485,31.1,7.4,54.8,,-320.54,-310.4,0.02561,8.5,C,False,A: Auto-ARIMA AIC (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
v3_arima,fixed,fixed_at_shock,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,40,40,40,40,"(2, 0, 2)",0.9336,0.0211,5.972,0.8176,10,80.8,0.05993,-229.4,B,0.03896,1.5585,57.1,2.3,111.8,,-426.67,-419.92,0.04261,14.722,C,False,B: Holt-Winters ETS trend (pre-only forecast),"ITS/ARIMA, mode=fixed, break=fixed_at_shock",,,,
