date,residual,phase,metodo,evento,carburante,break_date
2026-01-19,0.27882621854153694,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-20,-0.0005742052186225033,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-21,0.0015242052185946986,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-22,0.004494459434754072,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-23,0.0010099032378480532,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-24,-0.0009642438706674028,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-25,0.004755012929154145,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-26,-0.0037215996554066932,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-27,-0.0006805320912495749,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-28,0.0019609536088939783,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-29,-0.028038250049842228,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-30,0.0005576635057558121,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-01-31,0.0009762269566426784,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-01,0.014606842363533379,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-02,-0.008311247419270584,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-03,-0.010597221908966614,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-04,-0.0007100150908810887,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-05,0.0032004151799496228,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-06,0.0007778883126402514,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-07,0.0004273459824487569,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-08,-0.004453488651768478,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-09,0.001140277337979223,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-10,0.0027341114286487667,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-11,0.008600383621375995,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-12,0.0018141093674930997,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-13,0.0017800319958055089,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-14,4.166421346546434e-05,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-15,0.0005929902067955961,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-16,-0.0006003150867248119,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-17,-0.006466269814607961,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-18,-0.0041989015464372614,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-19,-0.001730457803969243,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-20,0.0038695011918810085,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-21,0.005137242102150941,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-22,0.002220289382869056,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-23,0.000874170690211673,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-24,0.0016791838827009409,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-25,0.002370545732271079,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-26,-0.01872494356332738,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-27,1.3184069285743227e-06,pre,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-02-28,0.001866060024949212,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-01,-0.020764531626078664,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-02,-0.04572058459352518,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-03,-0.03391621051852295,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-04,-0.032515620966037884,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-05,-0.01237966273023855,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-06,0.007356295505560828,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-07,0.02215225374136015,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-08,-0.015934354931545047,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-09,0.0028308614652058917,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-10,0.002869727691833579,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-11,-0.015904829794832043,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-12,-0.02285063850163027,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-13,-0.014834680265830957,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-14,-0.0016487220300316352,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-15,0.0020035336602228226,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-16,-0.024754434785672186,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-17,-0.010640138455430825,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-18,-0.0028408410023242903,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-19,0.006268546366920147,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-20,0.06396450460271952,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-21,0.043850462838518844,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-22,0.07335249758443185,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-23,0.07390588386327562,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-24,0.09762236693589288,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-25,0.10058131930207265,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-26,0.0967186025081399,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-27,0.09769456074393928,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-28,0.09936051897973863,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-29,0.09638751118009353,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-30,0.04798536018950739,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-03-31,0.07368042082991438,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-04-01,0.07402637906571374,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-04-02,0.0743723373015131,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-04-03,0.07471829553731246,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-04-04,0.07506425377311182,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-04-05,0.07541021200891118,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-04-06,0.07575617024471054,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-04-07,0.0761021284805099,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-04-08,0.07644808671630926,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
2026-04-09,0.07679404495210862,post,v5_causalimpact,Hormuz (Feb 2026),benzina,2026-02-28
