date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.24331583958006026,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-05,-0.006762184369322188,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-06,0.004282184369213515,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-07,-0.00026499378326050316,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-08,-0.0018847023313159628,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-09,0.003667715933380916,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-10,0.0033797345337574225,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-11,-0.003604141975797809,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-12,0.0028124954534093916,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-13,0.02004536029844814,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-14,0.0072087616730685256,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-15,0.0011291609782929923,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-16,-0.007139450253721563,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-17,-0.0020592864695430646,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-18,0.00027463062771734825,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-19,-0.0026059029740952977,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-20,0.0004929343318104684,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-21,0.0017483011397275428,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-22,0.0011012544624443843,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-23,-0.0018792176838872132,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-24,-0.0015044455170655502,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-25,0.00046873659480933805,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-26,-0.0006782972440819435,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-27,-0.0001850820400481623,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-28,-0.0029590607909858735,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-29,0.0031480057969873465,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-30,-0.0013514902616708901,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-31,-0.0011472395705588723,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-01,-0.006576651115998727,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-02,-0.0025240344758792888,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-03,0.0011373172371686446,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-04,0.004345738465970028,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-05,0.000679708931725781,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-06,0.00011312122066045593,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-07,0.0004651429524056283,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-08,0.00042010233799030794,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-09,-0.0018713244382115857,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-10,-0.008700988050859587,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-11,0.007188006347461723,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-12,0.001933229150529736,pre,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-13,0.002425088888853011,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-14,0.009350175486300044,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-15,0.008456515783392682,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-16,0.002128444105741395,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-17,0.006617291906025724,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-18,0.0069893487468057625,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-19,0.015204435344252809,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-20,0.026019521941699902,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-21,0.03493460853914687,post,v5_causalimpact,Iran-Israele (Giu 2025),benzina,2025-06-13
