date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.2547802661576013,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-05,0.010253100331262754,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-06,-0.030039643195121646,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-07,0.012480913664296794,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-08,-0.009982850897572948,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-09,-0.008006101676090921,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-10,0.00237786102553178,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-11,0.003826207320779318,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-12,0.005276614174495514,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-13,-0.03630456087268577,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-14,0.006244868802253001,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-15,0.015055621450103779,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-16,0.01871998250165513,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-17,0.00910841904221496,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-18,0.00465824428879999,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-19,0.004608215311796976,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-20,0.009236620458133421,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-21,0.004956776590975126,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-22,0.006275891420334717,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-23,-0.0037203706544334247,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-24,0.0003739968517214587,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-25,0.0012550546446190303,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-26,0.0055028626800960045,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-27,0.004175431432689419,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-28,-0.009716647888207502,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-29,0.0017353604752750607,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-30,0.01341529930467908,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-31,0.0012387443931965725,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-01,0.0003260659980693914,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-02,-0.010422775726357636,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-03,-0.006451329941813577,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-04,0.009615959333357404,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-05,-0.0028759633147708574,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-06,-0.00830526868842163,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-07,0.00036362259629177385,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-08,0.001203256592749835,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-09,-0.008801562019956993,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-10,-0.0043762285529907186,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-11,0.007785267163188919,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-12,0.006009125634110241,pre,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-13,-0.020952327789462627,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-14,-0.013256124255545593,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-15,-0.010379920721628605,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-16,-0.012668577896916361,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-17,-0.03640145139500209,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-18,-0.0339134768841409,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-19,-0.06725027737564596,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-20,-0.019948219132418482,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-21,-0.0017420155985014285,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-22,0.003414187935415508,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-23,0.00799528232681454,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-24,0.07795138522372727,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-25,0.07150704007917927,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-26,0.06837785604853722,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-27,0.08144692270878998,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-28,0.08010312624270707,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-29,0.08072932977662409,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-30,0.07575017256448249,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-01,0.0793736238293277,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-02,0.07013924154004017,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-03,0.0621245255494198,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-04,0.05511297345933944,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-05,0.055729176993256496,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-06,0.05673538052717356,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-07,0.02536958627373917,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-08,0.010951652589693245,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-09,0.007343260780863642,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-10,0.009911787402469702,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-11,0.05516304486934007,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-12,0.056999248403257013,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-13,0.058495451937174064,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-14,0.06663825272157345,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-15,0.0670606662051538,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-16,0.07450222761514028,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-17,0.06088620879532822,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-18,0.05025105873991856,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-19,0.05256726227383554,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-20,0.05394346580775258,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-21,0.05241841021949098,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-22,0.06790790245292269,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-23,0.0737585406363088,post,v5_causalimpact,Iran-Israele (Giu 2025),gasolio,2025-06-13
