date,residual,phase,metodo,evento,carburante,break_date
2022-01-15,0.19142894292868784,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-16,-0.0007925742010290171,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-17,-0.002597425799012315,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-18,0.0026120759304789076,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-19,0.0011682161678065461,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-20,0.007036432400222947,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-21,0.003835988986208211,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-22,0.0019023736460240803,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-23,0.001457471367384,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-24,-0.008369786206998159,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-25,-0.0009999368895392824,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-26,0.0005367655652773473,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-27,-0.0015322828353088458,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-28,0.0038763291686524093,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-29,0.0060193128401571094,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-30,-0.03622706412385368,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-01-31,-0.0029352943362155326,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-01,0.004257103438238652,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-02,-0.0006836784820253572,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-03,-0.0037948397084476837,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-04,0.002746029972491515,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-05,0.00510222144594949,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-06,0.008225361777679269,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-07,0.004900185885027164,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-08,-0.002707896556737116,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-09,0.0013391248825593838,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-10,-0.00829995508653994,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-11,0.002339057698775654,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-12,0.0025344236000052756,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-13,-0.005155350233895933,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-14,0.010747681664792785,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-15,-0.0009741880707467288,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-16,0.011409885474280346,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-17,0.00476868273642389,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-18,0.002360183663129456,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-19,0.0015059106503177988,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-20,-0.004658244794159411,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-21,-0.0028324253274941424,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-22,-0.00046941670273320524,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-23,0.0027531243687933804,pre,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-24,0.0013498787575899895,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-25,0.006525396969727676,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-26,0.014630915181865461,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-27,-0.013806947443487844,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
2022-02-28,-0.043019165737928716,post,v5_causalimpact,Ucraina (Feb 2022),benzina,2022-02-24
