date,residual,phase,metodo,evento,carburante,break_date
2022-01-15,0.15647324768843784,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-16,0.0011500000023801915,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-17,-0.016444228074806166,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-18,0.007650083265079072,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-19,-0.0011727363362479815,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-20,0.012426674016005806,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-21,0.010400809845679926,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-22,0.005786833737490227,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-23,0.0020379401212186343,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-24,0.008843071809371411,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-25,-0.003935754244805356,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-26,-0.019566581809454392,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-27,-0.004243369412815889,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-28,-0.008923208573555552,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-29,0.0077273003332067325,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-30,0.004403168865339396,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-01-31,0.0035964609928651192,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-01,0.0063971524942262326,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-02,0.009289751508927246,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-03,-0.007923266930631362,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-04,-0.015812980894433337,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-05,0.0032432224194868797,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-06,0.0029681637755462342,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-07,-0.0018610083847297176,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-08,0.03391085806390817,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-09,-0.004685762162246865,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-10,0.0012667512124084623,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-11,0.0033624590910096286,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-12,0.00224362434257816,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
2022-02-13,0.0009760741185231292,pre,v5_causalimpact,Ucraina (Feb 2022),gasolio,2022-02-24
