date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.007763888036302735,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-05,0.0009298404745418654,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-06,-0.0016220227178968538,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-07,-0.006496381848048349,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-08,-0.013089899460411891,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-09,-0.014721762652850579,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-10,-0.015603625845289237,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-11,-0.022566958152253902,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-12,-0.024044617036524496,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-13,-0.007576480228963178,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-14,0.001082328913741215,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-15,0.005458557098970029,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-16,0.0018466939065313603,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-17,0.0015448307140927264,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-18,0.0030668568303929278,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-19,0.0017763216149626615,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-20,0.0029398570047589057,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-21,0.005480696200798607,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-22,0.007806927752438353,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-23,0.00742506455999975,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-24,0.006953201367561002,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-25,0.008082454746310141,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-26,0.008180591553871464,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-27,0.008604185713947332,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-28,0.00620802530161263,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-29,0.00918708791170475,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-30,0.00844522471926612,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-05-31,0.007573361526827388,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-01,0.0009883466276056352,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-02,-0.003170609084361592,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-03,-0.004292472276800269,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-04,-0.0019246326924185764,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-05,-0.002148020874393003,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-06,-0.002769884066831735,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-07,-0.0030117472592704198,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-08,-0.00318361045170909,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-09,-0.005542998961785034,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-10,-0.015194871878655952,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-11,-0.011109705771980477,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-12,-0.010501568964419145,pre,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-13,-0.008923432156857786,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-14,-0.0028452953492964783,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-15,-0.0045859048420895665,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-16,-0.01176092630962658,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-17,-0.008119028299227976,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-18,-0.008593921248333664,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-19,-0.0012257844407723428,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-20,0.008742352366789025,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-21,0.016810489174350268,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-22,0.02540758571951221,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-23,0.01932572252707357,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
2025-06-24,0.032715772225921674,post,v7_theilsen,Iran-Israele (Giu 2025),benzina,2025-06-13
