date,residual,phase,metodo,evento,carburante,break_date
2025-05-04,0.012849757562837849,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-05,0.023911330679212778,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-06,0.004933260602041439,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-07,0.014962829793208815,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-08,0.004149538304851014,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-09,-0.005326508429053828,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-10,-0.0060280356413109915,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-11,-0.005849562853568302,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-12,-0.0038637637074591114,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-13,-0.043005746020102875,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-14,-0.03913041211572432,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-15,-0.030140174265637698,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-16,-0.017151885066060968,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-17,-0.012753412278318138,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-18,-0.011184939490575446,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-19,-0.008905706082449422,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-20,-0.0017181657679165296,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-21,0.0012181453671255837,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-22,0.006186697494430071,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-23,0.001330251385958603,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-24,0.001458724173701298,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-25,0.002047196961444009,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-26,0.00684233334073725,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-27,0.010076533099456997,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-28,-0.0002764255292990181,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-29,0.00196162576758549,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-30,0.014702584369822275,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-05-31,0.014461057157564988,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-01,0.014669529945307763,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-02,0.004238760127780711,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-03,-0.0013705473083069075,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-04,0.008462949279211263,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-05,0.004327185423020241,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-06,-0.003952985530388808,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-07,-0.003194512742646094,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-08,-0.0025360399549034796,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-09,-0.01194379518247729,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-10,-0.016046455932662046,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-11,-0.008578716943825476,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-12,-0.00404088751459783,pre,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-13,-0.026132094016562052,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-14,-0.018913621228819316,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-15,-0.016515148441076627,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-16,-0.01928153636253868,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-17,-0.04349214060679868,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-18,-0.04148189684211179,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-19,-0.07529642807979114,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-20,-0.02847210058273797,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-21,-0.010743627794995214,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-22,-0.006065155007252576,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-23,-0.001961791362027815,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-24,0.06751658078871062,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-25,0.060594504897988316,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-26,0.056987590121171966,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-27,0.06957892603525043,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-28,0.06775739882299323,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-29,0.06790587161073597,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-06-30,0.062448983652420076,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-01,0.06559470417109098,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-02,0.055882591135629156,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-03,0.04739014439883449,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-04,0.039900861562579826,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-05,0.040039334350322586,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-06,0.040567807138065376,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-07,0.00872428213845669,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-08,-0.006171382291763533,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-09,-0.010257504846767435,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-10,-0.008166708971335673,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-11,0.03660681774936042,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-12,0.03796529053710307,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-13,0.03898376332484582,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-14,0.04664883336307091,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-15,0.04659351610047696,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-16,0.05355734676428914,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-17,0.03946359719830278,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-18,0.02835071639671885,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-19,0.030189189184461535,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-20,0.031087661972204278,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-21,0.029084875637768376,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
2025-07-22,0.04409663712502579,post,v7_theilsen,Iran-Israele (Giu 2025),gasolio,2025-06-13
